day,time,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-07-16,0,148.1,411.7,400.6,391.2,100.2,229.1,23.5,69.9,0.0,0.0,316.9,59.1,773.4,28.9,119.1,96.7,6.5,35.3,80.5,55.6
2022-07-16,1,142.4,411.2,393.6,377.8,95.5,196.4,58.7,52.5,0.0,0.0,301.9,60.0,818.3,34.2,114.2,98.1,7.0,34.7,71.5,54.1
2022-07-16,2,123.3,412.0,386.0,374.4,94.7,189.6,22.3,53.4,0.0,0.0,279.3,44.1,786.3,30.8,109.7,101.1,2.8,32.0,75.2,53.5
2022-07-16,3,123.8,410.8,379.8,369.2,88.0,201.4,35.6,51.6,0.0,0.0,244.5,43.7,770.9,31.4,108.7,98.1,14.4,32.7,89.0,52.5
2022-07-16,4,175.4,411.1,374.7,422.9,90.8,200.3,40.2,51.7,0.0,0.0,233.7,37.3,812.5,28.6,107.9,93.5,0.0,35.2,62.7,51.9
2022-07-16,5,117.2,400.3,372.3,368.5,88.4,204.8,29.9,51.7,0.0,0.0,227.6,38.0,775.9,29.1,106.6,94.6,0.0,31.0,66.9,50.9
2022-07-16,6,90.2,392.4,380.8,364.8,86.7,191.5,30.4,52.6,0.0,0.0,216.4,36.3,769.9,35.0,108.1,96.6,0.0,31.2,70.9,55.9
2022-07-16,7,76.7,401.1,384.1,377.4,91.0,242.6,32.9,52.7,0.0,0.0,234.8,37.4,807.7,32.5,108.7,98.9,15.1,39.4,58.2,61.3
2022-07-16,8,43.0,403.5,388.9,417.9,91.7,262.5,33.4,53.7,0.0,0.0,289.9,44.5,738.8,30.9,110.3,115.2,0.0,54.5,83.5,77.6
2022-07-16,9,6.2,408.0,408.8,262.9,98.2,282.4,56.4,55.6,0.0,0.0,320.6,46.9,763.5,33.2,120.5,115.2,15.6,57.7,90.9,70.3
2022-07-16,10,0.0,444.0,416.7,311.5,99.9,298.0,46.9,54.9,0.0,0.0,303.5,52.7,766.1,40.5,118.3,125.3,11.4,66.7,87.3,81.3
2022-07-16,11,22.2,442.6,439.7,456.8,110.2,318.0,21.5,56.2,0.0,0.0,334.3,57.7,772.6,37.8,123.6,125.3,14.3,61.7,91.8,79.1
2022-07-16,12,47.1,453.2,447.0,426.8,115.3,289.5,40.9,56.4,0.0,0.0,387.2,59.8,786.9,39.2,124.1,122.6,14.4,59.7,91.9,76.6
2022-07-16,13,79.3,448.8,457.3,473.5,119.4,300.7,38.8,57.5,0.0,0.0,412.7,61.2,840.0,39.8,124.8,130.0,15.4,65.5,107.3,77.3
2022-07-16,14,82.3,459.2,464.7,447.3,127.1,295.6,40.0,68.5,0.0,0.0,393.1,54.3,809.1,39.8,127.1,119.9,17.4,62.3,88.6,75.3
2022-07-16,15,77.3,451.1,456.1,430.0,178.8,277.7,40.2,58.2,0.0,0.0,395.4,55.5,816.8,40.0,127.7,125.0,8.0,74.9,93.0,75.1
2022-07-16,16,41.7,458.1,461.4,520.8,178.5,275.5,27.3,57.9,0.0,0.0,395.4,55.4,825.9,41.7,129.5,122.1,7.5,63.1,100.8,65.9
2022-07-16,17,104.9,455.2,452.5,455.4,123.2,317.6,27.6,57.4,0.0,0.0,368.5,55.1,815.0,40.6,123.5,122.2,7.8,78.1,102.2,70.7
2022-07-16,18,129.3,454.6,454.9,449.4,122.4,314.3,23.4,61.6,0.0,0.0,335.3,62.8,779.5,42.8,126.7,121.2,11.7,69.2,84.8,62.8
2022-07-16,19,154.5,448.1,439.7,502.3,122.3,272.4,38.5,59.8,0.0,0.0,297.0,59.8,804.5,37.8,123.4,111.6,16.2,68.1,84.8,58.4
2022-07-16,20,175.1,426.6,444.6,433.4,124.6,320.0,39.0,55.7,0.0,0.0,312.4,62.0,744.0,41.2,119.6,106.4,17.9,57.8,102.9,57.7
2022-07-16,21,175.0,422.2,430.5,423.1,124.0,273.8,16.6,55.0,0.0,0.0,318.1,60.2,834.8,38.7,121.1,103.5,15.9,46.3,89.1,57.6
2022-07-16,22,169.6,420.7,418.2,476.8,111.1,278.4,22.6,54.9,0.0,0.0,324.6,63.0,788.2,38.8,114.9,96.2,14.6,40.2,90.2,54.8
2022-07-16,23,164.7,397.6,415.0,420.3,112.8,257.6,23.2,54.4,0.0,0.0,316.2,62.6,824.7,36.1,112.4,95.8,6.5,40.1,90.4,55.6
