day,time,SV-2,SV-5,SV-6,HV-M1,HV-M2,HV-NM,HV-EM,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-03,0,397.3,917.3,975.7,658.2,868.5,284.0,800.5,474.9,228.9,854.1,463.9,885.5,673.8,701.9,83.3,566.6,67.8,120.1,903.1,230.3,114.5,46.0,955.8,35.4,316.9,955.1,339.3
2022-08-03,1,400.9,919.5,977.1,660.3,869.9,285.8,800.8,475.1,229.3,854.5,464.4,885.6,674.0,701.9,83.3,566.6,67.8,120.4,903.1,231.0,114.5,46.1,955.8,35.4,316.9,955.2,339.4
2022-08-03,2,404.4,921.6,978.5,662.5,871.3,287.6,801.2,475.2,229.7,855.0,464.8,885.7,674.2,701.9,83.4,566.6,67.8,120.7,903.2,231.7,114.5,46.2,955.9,35.4,316.9,955.2,339.4
2022-08-03,3,407.8,923.7,979.8,664.6,872.6,289.3,801.6,475.4,230.1,855.4,465.3,885.8,674.4,701.9,83.5,566.6,67.8,121.0,903.2,232.4,114.5,46.3,956.0,35.5,317.0,955.3,339.5
2022-08-03,4,411.2,925.8,981.1,666.7,873.9,291.1,802.0,475.5,230.5,855.8,465.7,885.9,674.6,701.9,83.5,566.6,67.8,121.3,903.3,233.1,114.6,46.4,956.0,35.5,317.0,955.4,339.5
2022-08-03,5,414.5,927.9,982.4,668.8,875.2,292.8,802.3,475.6,230.9,856.2,466.1,886.0,674.8,702.0,83.6,566.6,67.8,121.5,903.3,233.8,114.6,46.6,956.1,35.5,317.0,955.4,339.6
2022-08-03,6,417.8,930.0,983.7,670.8,876.4,294.5,802.7,475.7,231.3,856.6,466.6,886.1,674.9,702.0,83.6,566.6,67.8,121.8,903.4,234.6,114.6,46.7,956.2,35.5,317.1,955.5,339.6
2022-08-03,7,421.2,932.0,984.9,672.9,877.7,296.1,803.1,475.8,231.7,857.0,467.0,886.2,675.1,702.0,83.7,566.6,67.8,122.0,903.4,235.3,114.6,46.8,956.3,35.5,317.1,955.5,339.6
2022-08-03,8,424.8,934.3,986.3,675.1,879.1,297.9,803.5,475.9,232.1,857.4,467.4,886.3,675.4,702.0,83.7,566.6,67.8,122.3,903.4,236.0,114.7,46.9,956.4,35.5,317.2,955.6,339.7
2022-08-03,9,429.1,936.9,988.0,677.7,880.8,300.0,804.1,476.1,232.5,857.9,468.0,886.4,675.6,702.0,83.8,566.8,67.9,122.6,903.5,236.7,114.7,47.1,956.5,35.5,317.2,955.7,339.8
2022-08-03,10,433.9,939.8,989.9,680.7,882.7,302.3,804.7,476.2,233.0,858.4,468.6,886.6,675.9,702.1,83.8,567.0,68.0,122.9,903.5,237.6,114.7,47.2,956.6,35.5,317.3,955.9,339.9
2022-08-03,11,438.9,942.9,991.7,683.8,884.5,304.8,805.4,476.3,233.5,859.0,469.2,886.8,676.2,702.1,83.9,567.2,68.2,123.2,903.6,238.5,114.8,47.3,956.8,35.5,317.4,956.0,340.0
2022-08-03,12,443.9,946.0,993.6,686.9,886.4,307.1,806.1,476.4,234.0,859.5,469.8,887.1,676.5,702.2,84.0,567.4,68.3,123.5,903.6,239.5,114.8,47.5,957.0,35.5,317.4,956.2,340.1
2022-08-03,13,448.9,949.2,995.6,690.1,888.4,309.5,806.8,476.5,234.5,860.1,470.4,887.3,676.8,702.2,84.0,567.6,68.5,123.8,903.7,240.4,114.9,47.6,957.1,35.5,317.5,956.4,340.2
2022-08-03,14,454.0,952.3,997.6,693.2,890.4,312.0,807.5,476.6,235.0,860.7,471.0,887.6,677.1,702.2,84.1,567.8,68.6,124.1,903.7,241.4,114.9,47.8,957.3,35.6,317.6,956.5,340.3
2022-08-03,15,459.1,955.5,999.5,696.4,892.3,314.5,808.2,476.7,235.5,861.2,471.6,887.8,677.5,702.3,84.2,568.0,68.7,124.4,903.8,242.4,114.9,47.9,957.4,35.6,317.6,956.7,340.4
2022-08-03,16,464.0,958.6,1.4,699.5,894.1,316.9,808.8,476.9,236.0,861.8,472.2,888.0,677.8,702.3,84.2,568.2,68.9,124.6,903.8,243.3,115.0,48.1,957.6,35.6,317.7,956.8,340.5
2022-08-03,17,468.9,961.6,3.1,702.5,895.9,319.3,809.5,477.0,236.5,862.3,472.8,888.3,678.1,702.4,84.3,568.4,68.9,124.8,903.9,244.2,115.0,48.2,957.7,35.6,317.8,956.9,340.6
2022-08-03,18,473.4,964.6,4.6,705.5,897.4,321.7,810.1,477.1,237.0,862.8,473.4,888.5,678.4,702.4,84.4,568.5,68.9,125.1,903.9,245.1,115.1,48.3,957.9,35.6,317.9,957.1,340.7
