day,time,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-07-07,0,979.3,255.4,177.7,70.8,61.8,86.0,192.4,312.1,40.2,559.2,0.0,100.5,28.7,56.3,37.6,25.2,28.6,15.1,46.6,15.4,53.8,17.6
2022-07-07,1,1008.6,239.5,156.4,68.3,65.0,66.6,197.3,306.2,33.5,530.3,0.0,94.1,31.5,40.0,37.5,23.7,18.7,26.8,46.7,22.4,45.1,17.1
2022-07-07,2,968.0,266.1,145.3,58.7,61.4,69.9,193.0,318.1,38.2,531.1,0.0,92.7,26.6,37.5,39.9,21.5,27.3,14.6,48.6,24.5,46.6,17.6
2022-07-07,3,953.2,263.3,123.3,68.3,61.3,57.8,192.6,328.1,35.7,514.9,0.0,89.0,26.2,32.1,40.2,23.7,17.7,14.3,45.5,15.0,43.3,17.2
2022-07-07,4,924.6,246.7,128.1,72.4,63.4,54.1,183.0,304.5,33.4,521.0,0.0,81.5,24.1,23.0,46.5,23.1,14.7,14.5,46.2,13.9,34.7,17.2
2022-07-07,5,927.9,247.2,122.7,160.4,71.4,59.2,179.3,304.1,37.1,504.4,0.0,88.0,36.1,32.5,28.9,28.1,23.8,13.5,47.4,15.1,37.5,17.2
2022-07-07,6,923.0,247.2,115.2,188.6,70.6,67.2,188.5,298.1,35.5,519.8,0.0,96.8,37.6,18.2,23.4,33.3,26.3,13.6,46.5,24.0,41.9,22.3
2022-07-07,7,1005.5,334.7,123.2,186.7,69.2,76.1,203.9,286.6,98.4,560.7,15.8,96.8,31.3,31.3,28.3,34.2,35.4,27.2,55.3,19.8,45.6,19.9
2022-07-07,8,1132.9,383.7,142.1,202.6,85.7,81.0,211.2,289.3,128.8,615.6,51.9,122.7,50.8,53.8,30.3,35.3,37.1,31.6,54.8,35.5,69.5,29.1
2022-07-07,9,1225.4,429.9,139.4,241.5,86.8,79.8,219.3,253.7,134.2,667.6,75.8,152.5,46.9,41.5,36.0,40.7,38.8,16.9,57.3,33.2,81.5,27.0
2022-07-07,10,1254.1,441.4,122.5,224.3,91.6,68.5,218.1,240.3,136.2,724.0,84.6,156.2,55.5,45.0,46.9,44.1,32.4,31.2,68.6,25.8,89.6,20.0
2022-07-07,11,1230.3,456.1,162.0,253.6,86.6,66.1,229.8,257.7,136.7,681.3,115.4,150.5,52.5,45.2,27.4,39.7,29.6,32.8,57.7,35.3,95.3,25.9
2022-07-07,12,1247.8,433.7,185.8,240.8,87.1,72.4,226.6,253.9,120.9,680.2,80.8,146.1,51.6,37.0,32.3,58.4,39.4,31.2,67.8,34.1,90.4,22.2
2022-07-07,13,1236.4,427.9,165.6,208.4,92.1,71.3,222.6,304.1,123.8,680.0,3.0,155.0,60.0,34.5,24.8,37.8,37.1,38.6,70.6,36.1,98.2,20.8
2022-07-07,14,1298.9,447.9,130.0,228.3,92.1,69.2,248.8,304.2,124.8,719.1,71.7,159.3,56.7,43.4,32.2,38.6,36.1,35.8,70.3,35.0,100.5,27.7
2022-07-07,15,1270.8,441.0,140.4,212.2,66.2,73.2,239.2,311.2,117.4,698.0,7.4,162.8,62.9,34.5,52.0,39.6,49.7,20.6,62.7,24.0,90.4,31.2
2022-07-07,16,1280.8,411.0,151.1,194.2,78.8,72.2,243.0,330.2,105.9,693.3,14.5,158.8,65.7,35.4,52.0,38.1,33.9,32.9,68.0,31.2,101.8,20.7
2022-07-07,17,1257.0,399.7,153.9,208.7,66.3,99.1,234.8,333.9,97.7,705.2,0.0,153.4,57.2,51.3,27.0,54.3,35.3,34.6,69.3,32.7,88.1,25.4
2022-07-07,18,1188.9,353.5,170.8,185.1,67.1,119.1,211.1,350.2,72.3,664.7,0.0,140.3,46.6,59.0,25.3,53.5,39.5,38.8,63.8,29.1,81.1,21.6
2022-07-07,19,1100.9,315.6,157.6,128.6,61.6,117.9,217.8,337.3,49.9,611.4,0.0,127.2,48.0,47.4,40.9,35.0,37.7,25.1,62.4,28.9,73.1,18.0
2022-07-07,20,1108.0,311.1,157.5,110.3,69.6,115.7,225.1,319.6,45.9,621.0,0.0,124.8,48.4,47.5,63.5,42.2,29.7,36.5,59.7,18.2,70.3,17.5
2022-07-07,21,1076.7,332.5,183.5,129.4,69.6,113.2,198.7,309.4,37.1,599.3,0.0,121.7,45.4,49.0,37.7,35.3,19.8,17.6,51.7,25.0,71.2,18.3
2022-07-07,22,1039.3,335.9,199.1,66.9,59.4,107.9,198.0,320.5,38.6,589.8,0.0,115.0,38.5,38.6,36.5,37.2,36.5,31.6,47.3,23.5,65.7,17.5
2022-07-07,23,1010.3,294.4,171.0,66.8,56.3,92.1,195.6,344.8,41.0,574.3,0.0,107.1,43.3,41.8,36.7,27.6,29.9,15.6,53.7,30.1,61.0,17.6
