day,time,SV-2,SV-5,SV-6,SV-7,HV-NM1,HV-NM2,고압콘덴샤,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-05,0,2492.0,2479.0,0.0,2436.0,0.0,2399.0,684.0,1044.0,297.0,158.0,67.0,72.0,88.0,196.0,328.0,38.0,606.0,0.0,97.0,36.0,32.0,36.0,23.0,15.0,20.0,58.0,14.0,58.0,16.0
2022-08-05,1,2389.0,2388.0,0.0,2338.0,0.0,2343.0,702.0,1035.0,288.0,142.0,70.0,73.0,70.0,197.0,346.0,34.0,603.0,0.0,102.0,33.0,35.0,40.0,31.0,26.0,21.0,50.0,15.0,55.0,19.0
2022-08-05,2,2378.0,2392.0,0.0,2284.0,0.0,2276.0,690.0,976.0,294.0,139.0,57.0,70.0,66.0,195.0,353.0,31.0,566.0,0.0,92.0,37.0,40.0,38.0,24.0,26.0,18.0,51.0,14.0,49.0,17.0
2022-08-05,3,2289.0,2280.0,0.0,2252.0,0.0,2238.0,715.0,994.0,279.0,136.0,64.0,66.0,60.0,198.0,318.0,29.0,580.0,0.0,87.0,30.0,40.0,38.0,23.0,27.0,19.0,50.0,16.0,46.0,17.0
2022-08-05,4,2299.0,2296.0,0.0,2268.0,0.0,2255.0,728.0,987.0,269.0,123.0,62.0,71.0,58.0,196.0,327.0,37.0,576.0,0.0,85.0,34.0,24.0,37.0,22.0,16.0,18.0,50.0,13.0,43.0,18.0
2022-08-05,5,2290.0,2297.0,0.0,2285.0,0.0,2267.0,729.0,989.0,270.0,119.0,122.0,73.0,58.0,197.0,325.0,27.0,596.0,0.0,78.0,27.0,27.0,44.0,30.0,20.0,32.0,50.0,16.0,37.0,17.0
2022-08-05,6,2345.0,2346.0,0.0,2304.0,0.0,2294.0,716.0,977.0,272.0,108.0,186.0,68.0,62.0,192.0,314.0,34.0,577.0,0.0,91.0,32.0,23.0,21.0,33.0,27.0,26.0,52.0,14.0,36.0,20.0
2022-08-05,7,2564.0,2570.0,0.0,2515.0,0.0,2506.0,747.0,1015.0,303.0,123.0,190.0,69.0,71.0,224.0,334.0,66.0,608.0,0.0,89.0,38.0,36.0,23.0,32.0,27.0,35.0,54.0,18.0,49.0,19.0
2022-08-05,8,2763.0,2750.0,0.0,2726.0,0.0,2735.0,694.0,1148.0,338.0,138.0,202.0,81.0,82.0,227.0,316.0,77.0,630.0,35.0,119.0,46.0,44.0,28.0,43.0,44.0,33.0,65.0,31.0,68.0,26.0
2022-08-05,9,3008.0,3011.0,0.0,2965.0,0.0,2950.0,691.0,1224.0,412.0,138.0,243.0,87.0,88.0,244.0,309.0,89.0,685.0,51.0,135.0,55.0,35.0,44.0,43.0,44.0,41.0,70.0,34.0,76.0,22.0
2022-08-05,10,2986.0,2983.0,0.0,2977.0,0.0,2975.0,723.0,1266.0,424.0,146.0,243.0,82.0,78.0,241.0,307.0,99.0,716.0,85.0,153.0,55.0,44.0,26.0,56.0,33.0,36.0,70.0,28.0,83.0,22.0
2022-08-05,11,3062.0,3066.0,0.0,3059.0,0.0,3057.0,707.0,1291.0,424.0,152.0,242.0,85.0,87.0,247.0,319.0,101.0,746.0,96.0,146.0,64.0,57.0,24.0,57.0,36.0,42.0,72.0,29.0,90.0,24.0
2022-08-05,12,3106.0,3106.0,0.0,3087.0,0.0,3084.0,739.0,1277.0,427.0,171.0,237.0,85.0,87.0,261.0,315.0,94.0,713.0,111.0,147.0,54.0,38.0,28.0,57.0,33.0,36.0,68.0,33.0,93.0,28.0
2022-08-05,13,3121.0,3114.0,0.0,3108.0,0.0,3115.0,741.0,1271.0,441.0,164.0,212.0,89.0,88.0,272.0,313.0,109.0,724.0,102.0,146.0,58.0,37.0,35.0,42.0,35.0,40.0,72.0,26.0,83.0,28.0
2022-08-05,14,3088.0,3071.0,0.0,3058.0,0.0,3056.0,739.0,1300.0,443.0,166.0,218.0,93.0,85.0,281.0,321.0,110.0,743.0,101.0,154.0,55.0,45.0,25.0,37.0,35.0,55.0,73.0,31.0,93.0,27.0
2022-08-05,15,3065.0,3054.0,0.0,3097.0,0.0,3089.0,718.0,1306.0,446.0,161.0,238.0,86.0,90.0,286.0,284.0,110.0,769.0,78.0,149.0,54.0,41.0,28.0,40.0,36.0,36.0,71.0,34.0,94.0,27.0
2022-08-05,16,3004.0,2989.0,0.0,3022.0,0.0,3020.0,738.0,1272.0,409.0,165.0,195.0,86.0,90.0,278.0,267.0,82.0,737.0,65.0,146.0,59.0,40.0,26.0,48.0,25.0,38.0,58.0,28.0,89.0,20.0
2022-08-05,17,2999.0,2995.0,0.0,2990.0,0.0,3017.0,704.0,1301.0,440.0,155.0,212.0,83.0,95.0,267.0,322.0,76.0,726.0,38.0,138.0,45.0,36.0,28.0,46.0,42.0,35.0,59.0,26.0,77.0,21.0
2022-08-05,18,2842.0,2850.0,0.0,2850.0,0.0,2831.0,662.0,1135.0,359.0,177.0,193.0,81.0,104.0,232.0,339.0,60.0,682.0,4.0,130.0,46.0,48.0,34.0,55.0,34.0,39.0,64.0,27.0,77.0,19.0
2022-08-05,19,2715.0,2711.0,0.0,2681.0,0.0,2689.0,677.0,1110.0,350.0,166.0,133.0,68.0,106.0,211.0,334.0,53.0,660.0,0.0,121.0,34.0,62.0,38.0,52.0,37.0,33.0,50.0,16.0,67.0,17.0
2022-08-05,20,2604.0,2602.0,0.0,2561.0,0.0,2564.0,0.0,1077.0,342.0,172.0,105.0,68.0,106.0,200.0,342.0,52.0,637.0,0.0,114.0,46.0,52.0,59.0,41.0,35.0,34.0,54.0,16.0,63.0,18.0
2022-08-05,21,2523.0,2527.0,0.0,2486.0,0.0,2475.0,0.0,1035.0,317.0,164.0,90.0,74.0,99.0,208.0,326.0,50.0,633.0,0.0,122.0,39.0,38.0,36.0,29.0,30.0,33.0,63.0,17.0,64.0,19.0
2022-08-05,22,2553.0,2549.0,0.0,2544.0,0.0,2529.0,0.0,1047.0,364.0,165.0,68.0,73.0,94.0,204.0,327.0,56.0,609.0,0.0,114.0,42.0,34.0,39.0,25.0,41.0,20.0,56.0,32.0,60.0,18.0
2022-08-05,23,2551.0,2558.0,0.0,2543.0,0.0,2538.0,0.0,1029.0,345.0,178.0,70.0,68.0,91.0,199.0,358.0,47.0,622.0,0.0,107.0,36.0,39.0,48.0,22.0,29.0,20.0,48.0,25.0,60.0,18.0
