day,time,weekday,1시간기온,1시간강수량,일최고기온,일최저기온,SV-2_석사,SV-5_석사,SV-6_석사,HV-M1_석사,HV-M2_석사,HV-NM_석사,HV-EM_석사,중앙P/P_석사,전기전자컴퓨터공학동_석사,신소재공학_석사,생명과학동_석사,기계공학동_석사,LG도서관_석사,창업B동_석사,금호관_석사,"냉각수순환펌프1,2,3_석사","냉각수순환펌프4,5,6_석사",기혼자아파트E동_석사,기숙사9동_석사,고등광/극초단_석사,신소재공학동(E)_석사,전기전자컴퓨터공학동(E)_석사,생명과학동(E)_석사,기계공학동(E)_석사,LG도서관(E)_석사,중앙P/P(E)_석사,고등광연구소(E)_석사,SV-2_학사,SV-5_학사,SV-6_학사,SV-7_학사,HV-NM1_학사,HV-NM2_학사,고압콘덴샤_학사,신재생에너지동_학사,대학B동_학사,대학기숙사A동_학사,제2학생회관_학사,학사P/P_학사,교원아파트_학사,대학C동_학사,중앙연구기기센터_학사,대학A동_학사,다산빌딩_학사,산학협력연구동_학사,신재생에너지동(E)_학사,대학B동(E)_학사,대학기숙사A동(E)_학사,학사P/P(E)_학사,제2학생회관(E)_학사,교원아파트(E)_학사,대학C동(E)_학사,중앙연구기기센터(E)_학사,대학A동(E)_학사,다산빌딩(E)_학사,산학협력연구동(E)_학사
2022-07-01,0,Friday,25.0,0.0,32.0,24.0,426.3,14.6,900.8,752.9,794.6,767.3,415.8,388.6,899.9,511.5,85.9,771.3,466.5,683.4,41.0,524.0,44.7,895.8,863.4,637.5,89.5,950.0,860.7,30.2,276.3,887.5,286.0,647.3,647.6,631.8,650.7,192.2,641.5,5.1,103.9,840.0,702.9,656.5,76.2,766.3,682.5,86.7,2197.0,802.1,35.2,814.4,779.5,710.9,752.5,420.6,313.1,930.5,136.3,19.3,631.5,180.5
2022-07-01,1,Friday,25.0,0.0,32.0,24.0,429.8,16.7,902.2,755.1,796.0,769.1,416.2,388.7,900.3,511.9,86.3,771.4,466.7,683.4,41.1,524.0,44.7,896.1,863.5,638.1,89.5,950.1,860.8,30.2,276.3,887.6,286.0,649.5,649.8,631.8,652.9,192.2,643.6,5.1,104.8,840.2,703.1,656.6,76.3,766.4,682.7,87.0,2197.0,802.6,35.2,814.5,779.6,710.9,752.6,420.6,313.1,930.5,136.4,19.3,631.5,180.5
2022-07-01,2,Friday,24.0,0.0,32.0,24.0,433.2,18.8,903.5,757.2,797.3,770.8,416.6,388.8,900.7,512.3,86.7,771.5,466.9,683.4,41.1,524.0,44.7,896.4,863.5,638.8,89.5,950.2,860.9,30.2,276.3,887.6,286.1,651.6,651.9,631.8,655.0,192.2,645.7,5.1,105.6,840.4,703.2,656.6,76.3,766.4,682.8,87.3,2197.0,803.1,35.2,814.6,779.6,710.9,752.6,420.6,313.1,930.5,136.4,19.3,631.6,180.5
2022-07-01,3,Friday,24.0,0.0,32.0,24.0,436.5,20.9,904.8,759.3,798.6,772.5,417.0,389.0,901.1,512.6,87.2,771.6,467.2,683.5,41.2,524.0,44.7,896.7,863.6,639.5,89.6,950.3,861.0,30.2,276.4,887.7,286.1,653.6,653.9,631.8,657.0,192.2,647.7,5.1,106.5,840.6,703.3,656.7,76.4,766.5,683.0,87.5,2197.0,803.6,35.2,814.7,779.6,711.0,752.7,420.6,313.2,930.6,136.5,19.3,631.6,180.5
2022-07-01,4,Friday,24.0,0.0,32.0,24.0,439.8,22.9,906.0,761.3,799.8,774.1,417.3,389.1,901.4,513.0,87.6,771.7,467.4,683.5,41.2,524.0,44.7,896.9,863.6,640.2,89.6,950.4,861.1,30.2,276.4,887.7,286.2,655.7,655.9,631.8,659.0,192.2,649.7,5.1,107.3,840.8,703.4,656.7,76.4,766.5,683.2,87.8,2197.0,804.1,35.2,814.7,779.6,711.0,752.7,420.6,313.2,930.6,136.5,19.3,631.6,180.5
2022-07-01,5,Friday,24.0,0.0,32.0,24.0,443.1,25.0,907.3,763.4,801.1,775.8,417.7,389.2,901.8,513.4,88.0,771.8,467.6,683.5,41.3,524.0,44.7,897.1,863.6,640.9,89.6,950.5,861.2,30.2,276.4,887.8,286.3,657.7,658.0,631.8,661.0,192.2,651.7,5.1,108.2,841.0,703.5,656.8,76.5,766.5,683.4,88.1,2197.1,804.6,35.2,814.8,779.7,711.0,752.7,420.6,313.2,930.6,136.6,19.3,631.7,180.5
2022-07-01,6,Friday,24.0,0.0,32.0,24.0,446.3,27.0,908.5,765.3,802.3,777.4,418.1,389.3,902.2,513.8,88.4,771.9,467.8,683.5,41.3,524.0,44.7,897.3,863.7,641.5,89.6,950.6,861.3,30.2,276.5,887.8,286.3,659.6,659.9,631.8,662.9,192.2,653.6,5.1,109.0,841.2,703.6,656.8,76.5,766.6,683.5,88.4,2197.1,805.1,35.2,814.9,779.7,711.0,752.7,420.7,313.2,930.6,136.6,19.3,631.7,180.5
2022-07-01,7,Friday,25.0,0.0,32.0,24.0,449.6,29.0,909.7,767.4,803.5,779.1,418.5,389.4,902.5,514.1,88.8,772.0,468.0,683.5,41.4,524.0,44.7,897.5,863.7,642.2,89.7,950.7,861.4,30.2,276.5,887.9,286.4,661.7,662.0,631.8,665.0,192.2,655.7,5.1,109.8,841.4,703.7,657.0,76.6,766.6,683.7,88.7,2197.1,805.5,35.2,815.0,779.7,711.0,752.8,420.7,313.2,930.6,136.6,19.4,631.7,180.5
2022-07-01,8,Friday,27.0,0.0,32.0,24.0,453.0,31.2,910.9,769.6,804.7,780.8,418.9,389.5,902.9,514.5,89.3,772.2,468.3,683.5,41.4,524.0,44.7,897.8,863.7,642.9,89.7,950.8,861.5,30.2,276.5,888.0,286.5,663.9,664.2,631.8,667.1,192.2,657.8,5.1,110.7,841.6,703.8,657.1,76.7,766.7,683.9,88.9,2197.1,806.0,35.2,815.1,779.7,711.1,752.8,420.7,313.2,930.6,136.7,19.4,631.8,180.5
2022-07-01,9,Friday,28.0,0.0,32.0,24.0,457.1,33.7,912.6,772.1,806.4,782.7,419.5,389.6,903.3,514.9,89.8,772.3,468.6,683.5,41.5,524.1,44.7,898.0,863.8,643.6,89.7,951.0,861.6,30.2,276.6,888.1,286.5,666.3,666.6,631.8,669.5,192.2,660.2,5.1,111.6,841.9,703.9,657.3,76.7,766.7,684.1,89.1,2197.2,806.6,35.3,815.1,779.8,711.1,752.8,420.8,313.3,930.6,136.7,19.4,631.8,180.6
2022-07-01,10,Friday,29.0,0.0,32.0,24.0,461.8,36.6,914.4,775.0,808.2,784.9,420.2,389.6,903.8,515.4,90.3,772.5,468.9,683.6,41.6,524.3,44.8,898.3,863.9,644.5,89.8,951.1,861.8,30.2,276.7,888.3,286.6,668.8,669.1,631.8,672.1,192.2,662.8,5.1,112.7,842.2,704.0,657.5,76.8,766.8,684.3,89.3,2197.3,807.2,35.3,815.3,779.8,711.1,752.8,420.8,313.3,930.7,136.8,19.4,631.9,180.6
2022-07-01,11,Friday,30.0,0.0,32.0,24.0,466.5,39.5,916.2,777.9,810.0,787.1,420.9,389.6,904.3,515.9,90.9,772.8,469.2,683.6,41.6,524.5,44.9,898.5,863.9,645.4,89.8,951.3,862.0,30.2,276.7,888.4,286.7,671.4,671.6,631.8,674.7,192.2,665.3,5.1,113.9,842.5,704.0,657.7,76.9,766.9,684.5,89.4,2197.4,807.8,35.3,815.4,779.8,711.1,752.9,420.8,313.3,930.7,136.8,19.4,631.9,180.6
2022-07-01,12,Friday,31.0,0.0,32.0,24.0,471.2,42.4,918.0,780.8,811.8,789.3,421.6,389.7,904.7,516.4,91.5,773.0,469.5,683.7,41.7,524.7,45.0,898.8,864.0,646.3,89.8,951.4,862.2,30.2,276.8,888.5,286.8,673.8,674.1,631.8,677.2,192.2,667.9,5.1,115.0,842.9,704.1,657.9,76.9,766.9,684.7,89.5,2197.5,808.5,35.4,815.5,779.9,711.1,752.9,420.9,313.3,930.7,136.9,19.4,632.0,180.6
2022-07-01,13,Friday,32.0,0.0,32.0,24.0,476.0,45.3,919.9,783.7,813.7,791.5,422.3,389.7,905.2,516.9,92.0,773.3,469.8,683.7,41.8,524.9,45.1,899.1,864.0,647.2,89.9,951.5,862.4,30.2,276.9,888.8,286.9,676.3,676.6,631.8,679.8,192.2,670.4,5.1,116.1,843.2,704.2,658.1,77.0,767.0,684.9,89.6,2197.6,809.1,35.5,815.6,779.9,711.2,752.9,420.9,313.3,930.7,136.9,19.4,632.1,180.6
2022-07-01,14,Friday,32.0,0.0,32.0,24.0,480.8,48.3,921.8,786.7,815.6,793.8,423.0,389.7,905.7,517.4,92.5,773.5,470.2,683.7,41.8,525.1,45.2,899.4,864.1,648.2,89.9,951.7,862.6,30.3,277.0,888.9,287.0,678.9,679.2,631.8,682.4,192.2,673.0,5.1,117.3,843.6,704.4,658.2,77.1,767.0,685.1,89.8,2197.7,809.7,35.5,815.8,779.9,711.2,752.9,420.9,313.4,930.7,137.0,19.5,632.1,180.6
