day,time,중앙P/P,전기전자컴퓨터공학동,신소재공학,생명과학동,기계공학동,LG도서관,창업B동,금호관,"냉각수순환펌프1,2,3","냉각수순환펌프4,5,6",기혼자아파트E동,기숙사9동,고등광/극초단,신소재공학동(E),전기전자컴퓨터공학동(E),생명과학동(E),기계공학동(E),LG도서관(E),중앙P/P(E),고등광연구소(E)
2022-08-30,0,156.1,416.3,372.1,423.2,112.6,205.7,35.3,51.6,0.0,0.0,267.9,55.4,763.2,42.7,127.1,86.1,16.6,34.4,90.8,53.2
2022-08-30,1,146.6,395.5,373.8,448.2,99.0,182.2,33.0,50.9,0.0,0.0,264.4,50.0,712.9,28.5,126.9,86.8,15.2,33.3,91.5,54.7
2022-08-30,2,141.5,414.5,359.7,463.4,100.6,179.6,44.1,50.5,0.0,0.0,220.2,42.5,721.2,33.3,124.5,87.8,6.7,32.3,70.7,51.6
2022-08-30,3,142.8,387.3,357.7,401.5,98.6,191.9,33.1,49.9,0.0,0.0,214.5,40.2,759.0,27.5,122.8,90.1,6.4,32.1,63.4,54.2
2022-08-30,4,142.9,401.9,358.8,399.0,98.0,193.5,33.9,50.7,0.0,0.0,214.3,36.5,732.2,27.1,123.2,87.4,6.2,34.9,61.6,52.4
2022-08-30,5,140.5,403.1,359.1,392.6,95.1,181.5,28.0,50.6,0.0,0.0,214.9,35.7,739.6,29.8,124.6,91.1,6.5,31.0,54.4,49.8
2022-08-30,6,113.9,404.9,363.6,412.2,94.8,180.1,32.9,53.4,0.0,0.0,207.6,33.8,745.6,34.3,124.4,99.4,16.8,32.5,78.5,50.0
2022-08-30,7,99.9,393.8,372.6,459.3,105.9,249.4,35.0,52.0,0.0,0.0,259.4,41.7,735.8,36.5,132.6,131.3,18.5,66.9,86.6,58.6
2022-08-30,8,164.5,430.8,400.0,543.2,171.6,257.7,60.3,66.1,211.9,284.1,276.8,61.0,815.5,43.9,150.1,165.4,19.3,71.9,122.0,71.5
2022-08-30,9,175.7,457.8,436.3,617.3,191.2,276.8,64.3,65.9,210.1,138.3,360.2,58.3,905.4,50.1,146.6,191.6,22.4,76.5,122.9,90.5
2022-08-30,10,258.9,490.3,458.7,701.1,210.1,260.0,59.0,77.6,210.2,138.4,355.7,60.0,905.2,47.1,147.8,198.7,22.9,87.4,116.3,108.2
2022-08-30,11,193.9,491.2,467.6,566.9,199.7,288.9,52.7,83.6,210.5,138.2,375.7,57.3,973.7,50.6,152.3,216.2,23.1,86.7,154.8,109.7
2022-08-30,12,144.8,499.8,475.9,577.2,207.6,281.2,49.9,89.1,210.2,139.0,430.6,55.1,1015.4,55.5,151.3,219.6,22.7,81.7,165.5,101.1
2022-08-30,13,181.1,507.3,485.6,632.2,226.7,313.1,49.6,73.0,210.1,138.3,431.9,55.3,944.9,54.1,157.3,234.9,23.3,88.1,143.7,107.7
2022-08-30,14,185.5,516.7,499.1,631.8,219.0,287.3,46.1,102.9,210.5,138.1,427.1,48.6,965.0,55.6,162.2,219.6,23.8,84.6,111.4,103.9
2022-08-30,15,183.0,515.5,489.4,608.7,219.2,295.2,43.4,80.8,210.5,138.1,419.1,54.8,948.9,52.2,154.7,201.6,24.9,83.5,107.4,93.8
2022-08-30,16,190.4,506.9,493.1,660.3,218.4,286.2,38.2,72.1,210.2,138.3,447.2,60.9,924.4,49.2,156.9,191.9,25.0,84.0,136.3,104.1
2022-08-30,17,146.2,483.9,474.6,567.2,213.3,308.5,32.8,63.8,0.0,0.0,410.5,57.2,917.2,49.7,154.3,176.9,22.7,77.7,154.4,97.9
2022-08-30,18,179.9,471.2,462.5,576.7,183.0,300.8,41.5,58.4,0.0,0.0,375.8,56.6,913.8,52.7,142.2,149.2,21.9,70.4,139.0,87.1
2022-08-30,19,170.1,465.0,453.8,517.4,148.3,275.7,23.6,53.0,0.0,0.0,364.7,56.2,839.5,47.7,141.5,129.9,19.6,81.6,89.9,73.4
2022-08-30,20,156.6,468.4,444.0,546.7,139.8,276.7,34.3,54.1,0.0,0.0,308.4,55.9,848.1,48.3,143.3,114.2,21.1,70.3,100.0,77.7
2022-08-30,21,163.4,467.8,451.0,552.9,131.7,283.3,25.5,54.1,0.0,0.0,309.8,61.4,830.5,42.0,134.0,100.8,13.1,46.2,107.4,71.5
2022-08-30,22,151.6,458.1,423.0,478.8,129.8,265.9,27.8,51.5,0.0,0.0,307.7,58.5,828.6,39.5,131.7,97.0,19.0,48.4,124.5,69.6
2022-08-30,23,146.3,443.1,423.6,522.8,120.5,253.3,21.6,51.7,0.0,0.0,307.3,63.2,796.9,44.5,131.1,100.7,11.2,42.9,113.3,72.6
