day,time,신재생에너지동,대학B동,대학기숙사A동,제2학생회관,학사P/P,교원아파트,대학C동,중앙연구기기센터,대학A동,다산빌딩,산학협력연구동,신재생에너지동(E),대학B동(E),대학기숙사A동(E),학사P/P(E),제2학생회관(E),교원아파트(E),대학C동(E),중앙연구기기센터(E),대학A동(E),다산빌딩(E),산학협력연구동(E)
2022-08-07,0,995.7,306.6,137.2,67.8,71.7,86.9,193.6,299.9,47.4,607.6,0.0,87.4,29.3,32.7,35.5,24.9,19.4,18.2,49.1,14.8,41.5,18.4
2022-08-07,1,1003.4,296.5,142.2,69.5,73.1,73.5,193.5,335.3,49.5,598.8,0.0,95.7,27.6,35.6,37.5,26.0,16.0,17.7,49.2,14.6,51.8,18.4
2022-08-07,2,988.5,294.0,124.8,62.6,67.2,63.2,193.1,339.8,44.0,584.0,0.0,92.5,26.2,25.6,36.1,24.3,25.8,20.8,49.1,14.5,39.2,19.0
2022-08-07,3,976.4,297.4,131.6,67.1,65.7,63.2,198.7,328.9,36.3,592.8,0.0,90.0,27.3,36.4,44.4,24.3,21.7,26.2,48.2,15.5,44.6,18.3
2022-08-07,4,938.3,288.5,110.0,67.1,68.5,63.9,199.0,327.6,41.7,570.6,0.0,82.7,24.7,32.7,37.2,21.8,14.6,18.1,49.2,13.3,36.9,18.5
2022-08-07,5,957.9,285.1,115.0,74.9,72.6,57.6,189.9,329.1,41.4,588.9,0.0,85.3,27.4,25.0,35.0,21.8,16.5,17.0,47.9,15.5,36.4,18.1
2022-08-07,6,970.3,294.2,116.7,140.8,72.6,57.8,198.0,316.9,35.9,583.5,0.0,92.9,25.5,32.8,43.0,40.6,23.4,17.5,47.3,13.8,43.5,17.8
2022-08-07,7,1000.6,296.8,114.1,109.6,92.3,70.0,189.4,296.3,46.7,593.6,16.6,87.6,36.0,40.3,20.0,24.3,30.4,17.2,47.9,16.3,39.9,18.0
2022-08-07,8,1045.8,302.6,121.9,158.6,76.2,84.2,187.5,298.9,47.6,603.2,53.6,94.7,26.6,32.3,32.2,28.9,32.5,27.2,49.0,15.1,49.2,17.8
2022-08-07,9,1022.6,295.3,125.9,146.0,76.8,87.9,199.2,270.9,47.1,604.0,72.8,96.3,27.1,23.8,22.8,25.5,34.7,17.2,48.5,15.1,52.0,17.8
2022-08-07,10,1021.6,313.0,133.8,125.3,80.0,104.8,187.7,245.2,59.1,626.7,97.8,103.7,33.0,33.5,25.2,27.1,31.3,18.2,49.3,27.7,56.5,18.1
2022-08-07,11,1052.3,332.9,145.4,127.5,72.1,92.6,187.7,229.8,59.1,639.1,106.0,108.3,33.3,42.4,20.9,25.7,24.8,19.1,54.5,16.3,52.7,18.0
2022-08-07,12,1068.9,326.1,147.0,190.6,72.3,90.4,190.8,246.0,56.3,646.7,110.6,99.6,26.5,35.8,21.0,33.1,36.6,31.1,49.5,15.2,54.7,18.2
2022-08-07,13,1107.5,339.7,168.5,169.3,78.6,106.2,193.5,283.9,53.9,652.0,110.6,107.0,41.1,33.8,45.7,27.7,37.2,22.5,53.7,30.5,59.5,16.6
2022-08-07,14,1097.4,334.7,171.1,126.6,78.9,105.3,206.6,290.5,64.9,643.0,76.0,112.7,40.9,33.6,45.5,25.5,25.7,18.8,59.0,16.9,69.1,18.1
2022-08-07,15,1098.0,382.9,163.3,130.3,72.6,101.2,210.0,259.1,59.2,687.3,89.9,118.1,40.9,42.4,23.0,29.4,30.5,26.2,50.8,18.2,65.8,18.1
2022-08-07,16,1099.6,344.8,161.4,143.0,77.5,110.8,212.1,292.0,63.2,693.0,78.7,118.1,44.3,35.0,24.6,28.5,42.4,37.6,61.5,27.0,65.5,18.0
2022-08-07,17,1108.9,366.0,162.2,132.1,79.8,108.8,210.5,311.0,65.2,669.7,27.5,114.8,42.5,34.0,25.7,45.5,26.9,32.4,48.7,28.7,66.9,18.1
2022-08-07,18,1134.3,345.9,170.7,116.8,75.7,114.5,218.3,331.6,50.6,664.2,0.0,114.8,42.9,37.0,22.9,26.7,41.2,19.6,52.8,27.9,65.9,17.3
2022-08-07,19,1061.6,331.7,164.0,63.6,69.6,125.0,216.7,357.3,57.6,622.6,0.0,114.1,31.6,30.8,47.7,23.2,36.7,33.5,60.7,17.6,60.3,25.7
2022-08-07,20,1040.5,334.0,169.4,67.2,68.1,118.7,221.3,343.8,56.3,607.0,0.0,105.3,27.8,54.9,38.6,22.7,27.9,34.1,64.0,14.6,58.4,18.4
2022-08-07,21,1046.5,329.3,177.3,62.9,73.9,121.9,213.9,340.0,48.4,613.6,0.0,109.5,38.5,39.5,37.2,26.3,28.5,20.6,59.4,16.7,57.9,17.7
2022-08-07,22,1012.3,330.1,169.7,56.7,71.2,111.6,214.8,339.3,51.1,617.0,0.0,106.5,36.9,41.5,41.5,40.2,31.8,19.5,59.1,13.9,50.3,18.7
2022-08-07,23,1023.2,323.0,153.2,67.0,75.4,109.5,207.3,329.9,49.0,609.3,0.0,105.8,28.4,35.5,43.7,23.0,26.9,18.8,48.4,16.4,51.4,19.4
