day,time,weekday,1시간기온,1시간강수량,일최고기온,일최저기온,중앙P/P_석사,전기전자컴퓨터공학동_석사,신소재공학_석사,생명과학동_석사,기계공학동_석사,LG도서관_석사,창업B동_석사,금호관_석사,"냉각수순환펌프1,2,3_석사","냉각수순환펌프4,5,6_석사",기혼자아파트E동_석사,기숙사9동_석사,고등광/극초단_석사,신소재공학동(E)_석사,전기전자컴퓨터공학동(E)_석사,생명과학동(E)_석사,기계공학동(E)_석사,LG도서관(E)_석사,중앙P/P(E)_석사,고등광연구소(E)_석사,신재생에너지동_학사,대학B동_학사,대학기숙사A동_학사,제2학생회관_학사,학사P/P_학사,교원아파트_학사,대학C동_학사,중앙연구기기센터_학사,대학A동_학사,다산빌딩_학사,산학협력연구동_학사,신재생에너지동(E)_학사,대학B동(E)_학사,대학기숙사A동(E)_학사,학사P/P(E)_학사,제2학생회관(E)_학사,교원아파트(E)_학사,대학C동(E)_학사,중앙연구기기센터(E)_학사,대학A동(E)_학사,다산빌딩(E)_학사,산학협력연구동(E)_학사
2022-07-01,0,Friday,25.0,0.0,32.0,24.0,147.8,419.0,408.8,497.6,129.3,262.2,19.3,49.7,0.0,0.0,322.7,63.0,829.0,35.2,123.1,102.9,17.9,40.3,82.2,63.1,970.7,248.6,150.8,68.4,67.4,71.7,199.8,313.0,28.4,573.3,0.0,100.6,37.7,43.8,55.9,23.9,27.0,14.9,47.4,14.7,54.2,18.1
2022-07-01,1,Friday,25.0,0.0,32.0,24.0,147.8,424.5,397.2,442.3,123.5,245.5,19.8,49.5,0.0,0.0,296.4,56.9,824.8,34.3,117.4,102.2,8.1,38.9,73.6,61.7,925.1,211.2,141.0,64.4,70.7,61.8,191.0,300.5,26.6,570.5,0.0,101.0,27.3,53.6,43.4,26.6,30.3,14.7,46.0,14.6,45.7,18.0
2022-07-01,2,Friday,24.0,0.0,32.0,24.0,135.9,409.9,388.8,445.9,121.5,271.0,19.3,48.5,0.0,0.0,274.2,51.7,846.2,29.1,112.5,104.5,7.7,36.5,83.6,61.2,902.0,216.9,110.3,62.3,63.8,57.8,194.0,319.7,32.7,514.0,0.0,88.8,25.7,39.8,42.4,33.6,30.3,15.1,45.2,14.3,43.0,18.0
2022-07-01,3,Friday,24.0,0.0,32.0,24.0,142.2,403.0,380.6,506.2,112.3,231.5,19.9,49.2,0.0,0.0,236.6,40.1,828.1,33.2,110.6,104.1,6.9,34.9,68.9,60.8,885.1,219.4,115.7,65.9,62.6,54.7,194.1,323.6,24.7,517.6,0.0,81.7,25.7,40.4,62.5,37.0,21.2,15.0,44.8,15.0,35.6,19.6
2022-07-01,4,Friday,24.0,0.0,32.0,24.0,146.8,407.8,388.0,431.9,113.9,230.2,19.8,48.9,0.0,0.0,232.8,39.8,765.3,32.6,110.7,102.6,16.0,39.4,66.5,62.3,882.5,222.0,94.6,69.8,67.8,49.2,188.9,316.5,23.6,517.6,0.0,79.0,24.2,27.4,37.9,22.4,24.8,28.8,46.0,13.0,33.8,18.1
2022-07-01,5,Friday,24.0,0.0,32.0,24.0,114.0,406.0,391.3,422.7,113.0,234.4,21.9,49.0,0.0,0.0,220.9,38.2,777.9,29.5,110.7,103.6,13.5,42.4,57.3,64.1,857.3,202.3,102.6,121.3,75.5,50.4,195.2,295.6,28.0,506.5,0.0,92.8,25.2,24.4,29.3,27.9,25.3,9.4,48.9,14.3,33.1,18.1
2022-07-01,6,Friday,24.0,0.0,32.0,24.0,111.4,416.3,394.4,473.1,121.4,271.4,21.4,53.3,0.0,0.0,247.3,39.1,807.7,35.1,118.2,111.6,6.6,34.9,82.5,71.8,875.8,242.5,110.3,189.0,78.0,60.8,187.0,315.0,52.2,523.3,0.0,95.7,36.2,21.6,26.7,33.9,26.3,13.7,48.9,17.8,43.2,19.9
2022-07-01,7,Friday,25.0,0.0,32.0,24.0,117.3,436.9,407.5,502.7,143.0,265.2,25.6,56.6,0.0,0.0,270.8,47.9,780.8,35.1,121.8,133.0,7.3,59.8,137.1,79.0,984.7,277.1,109.1,196.9,85.6,69.0,196.9,282.9,76.3,573.2,14.6,95.9,29.8,21.4,24.1,33.2,33.2,30.1,46.6,19.3,44.3,25.3
2022-07-01,8,Friday,27.0,0.0,32.0,24.0,129.0,476.5,456.7,544.3,232.0,309.6,52.4,71.3,226.5,110.5,309.8,65.8,891.2,42.4,142.2,175.5,18.9,69.8,176.7,102.2,1094.0,331.9,111.0,234.3,98.1,75.5,209.9,254.7,108.6,613.0,54.4,125.0,44.7,36.6,28.6,37.4,43.5,30.1,64.4,30.6,61.6,29.9
2022-07-01,9,Friday,28.0,0.0,32.0,24.0,125.2,508.3,510.9,665.3,245.0,350.1,48.7,72.7,205.3,104.0,317.7,70.0,1002.5,51.1,152.0,195.0,19.5,79.0,176.7,113.2,1188.7,350.6,125.3,242.0,79.0,68.1,226.5,289.4,108.3,654.1,57.5,127.2,50.9,48.7,40.7,38.8,35.9,32.0,63.4,31.1,69.6,23.5
2022-07-01,10,Friday,29.0,0.0,32.0,24.0,111.5,514.9,538.3,632.3,263.2,341.7,57.1,81.1,205.3,103.6,284.0,69.9,1031.4,51.5,153.2,202.8,20.5,77.7,166.8,110.5,1212.5,369.7,113.9,229.9,92.1,63.6,230.7,268.0,126.7,668.5,85.3,140.7,48.3,35.8,51.8,44.4,28.9,24.9,68.3,31.8,81.9,22.9
2022-07-01,11,Friday,30.0,0.0,32.0,24.0,133.6,510.7,530.4,626.9,251.7,353.4,66.2,76.5,205.2,102.5,321.2,68.4,1014.8,49.4,160.2,195.4,21.2,80.0,226.0,117.6,1240.7,380.2,108.9,232.7,71.9,61.7,233.6,270.2,106.8,673.6,103.5,142.2,41.8,35.1,24.7,48.7,33.0,31.4,68.3,20.7,77.9,21.3
2022-07-01,12,Friday,31.0,0.0,32.0,24.0,101.4,511.3,524.8,566.3,247.0,363.9,51.1,71.4,205.3,101.9,337.1,63.3,1032.3,46.1,150.6,184.2,22.1,75.2,260.9,119.1,1173.0,379.2,141.8,238.4,87.2,67.4,221.2,260.8,101.8,653.5,106.5,143.1,47.8,38.3,26.3,52.5,34.1,26.9,65.7,18.7,82.1,25.7
2022-07-01,13,Friday,32.0,0.0,32.0,24.0,143.1,526.0,544.9,658.9,265.6,355.7,52.4,73.7,205.1,100.8,363.7,59.7,1088.0,49.7,150.1,192.7,21.1,89.2,182.9,101.4,1203.0,384.1,138.4,239.0,92.8,64.9,221.8,335.6,116.4,663.6,107.4,149.5,50.1,38.1,30.5,34.4,33.0,36.9,55.6,34.6,76.4,28.8
2022-07-01,14,Friday,32.0,0.0,32.0,24.0,166.3,540.5,554.7,638.7,279.8,379.2,54.1,71.0,205.1,100.5,295.3,61.6,1108.5,53.1,152.7,197.7,21.4,80.0,159.7,106.4,1233.6,451.0,106.0,235.8,74.0,64.7,223.8,276.1,113.8,677.4,89.6,148.0,50.5,33.5,34.5,49.3,37.4,31.6,65.5,31.5,83.4,21.0
2022-07-01,15,Friday,32.0,0.0,32.0,24.0,182.8,517.7,552.4,660.6,284.3,392.7,47.5,76.8,204.9,100.2,296.2,63.0,1114.1,51.1,150.2,190.0,19.5,85.3,147.2,95.6,1236.3,448.3,134.4,216.2,81.6,69.0,234.4,350.3,115.5,677.3,78.0,138.1,58.5,34.2,25.4,48.9,37.2,33.4,64.8,32.4,85.3,29.1
