day,time,value
2022-07-01,0,35.000000
2022-07-01,1,32.000000
2022-07-02,0,31.000000
2022-07-02,1,32.000000
2022-07-03,0,33.000000
2022-07-03,1,33.000000
2022-07-04,0,33.000000
2022-07-04,1,32.000000
2022-07-05,0,34.000000
2022-07-05,1,31.000000
2022-07-06,0,33.000000
2022-07-06,1,31.000000
2022-07-07,0,31.000000
2022-07-07,1,33.000000
2022-07-08,0,33.000000
2022-07-08,1,34.000000
2022-07-09,0,34.000000
2022-07-09,1,31.000000
2022-07-10,0,30.000000
2022-07-10,1,32.000000
2022-07-11,0,31.000000
2022-07-11,1,31.000000
2022-07-12,0,29.000000
2022-07-12,1,32.000000
2022-07-13,0,31.000000
2022-07-13,1,32.000000
2022-07-14,0,32.000000
2022-07-14,1,31.000000
2022-07-15,0,32.000000
2022-07-15,1,31.000000
2022-07-16,0,31.000000
2022-07-16,1,29.000000
2022-07-17,0,27.000000
2022-07-17,1,32.000000
2022-07-18,0,31.000000
2022-07-18,1,32.000000
2022-07-19,0,33.000000
2022-07-19,1,31.000000
2022-07-20,0,30.000000
2022-07-20,1,31.000000
2022-07-21,0,30.000000
2022-07-21,1,31.000000
2022-07-22,0,30.000000
2022-07-22,1,31.000000
2022-07-23,0,30.000000
2022-07-23,1,32.000000
2022-07-24,0,32.000000
2022-07-24,1,32.000000
2022-07-25,0,33.000000
2022-07-25,1,33.000000
2022-07-26,0,32.000000
2022-07-26,1,33.000000
2022-07-27,0,33.000000
2022-07-27,1,33.000000
2022-07-28,0,34.000000
2022-07-28,1,33.000000
2022-07-29,0,33.000000
2022-07-29,1,29.000000
2022-07-30,0,30.000000
2022-07-30,1,31.000000
2022-07-31,0,31.000000
2022-07-31,1,32.000000
2022-08-01,0,31.000000
2022-08-01,1,33.000000
2022-08-02,0,33.000000
2022-08-02,1,33.000000
2022-08-03,0,33.000000
2022-08-03,1,33.000000
2022-08-04,0,33.000000
2022-08-04,1,33.000000
2022-08-05,0,33.000000
2022-08-05,1,33.000000
2022-08-06,0,33.000000
2022-08-06,1,32.000000
2022-08-07,0,32.000000
2022-08-07,1,31.000000
2022-08-08,0,31.000000
2022-08-08,1,31.000000
2022-08-09,0,31.000000
2022-08-09,1,30.000000
2022-08-10,0,30.000000
2022-08-10,1,33.000000
2022-08-11,0,32.000000
2022-08-11,1,33.000000
2022-08-12,0,32.000000
2022-08-12,1,33.000000
2022-08-13,0,33.000000
2022-08-13,1,32.000000
2022-08-14,0,32.000000
2022-08-14,1,30.000000
2022-08-15,0,31.000000
2022-08-15,1,32.000000
2022-08-16,0,31.000000
2022-08-16,1,32.000000
2022-08-17,0,32.000000
2022-08-17,1,32.000000
2022-08-18,0,33.000000
2022-08-18,1,31.000000
2022-08-19,0,32.000000
2022-08-19,1,33.000000
2022-08-20,0,32.000000
2022-08-20,1,32.000000
2022-08-21,0,32.000000
2022-08-21,1,32.000000
2022-08-22,0,32.000000
2022-08-22,1,30.000000
2022-08-23,0,31.000000
2022-08-23,1,30.000000
2022-08-24,0,29.000000
2022-08-24,1,29.000000
2022-08-25,0,30.000000
2022-08-25,1,29.000000
2022-08-26,0,29.000000
2022-08-26,1,29.000000
2022-08-27,0,27.000000
2022-08-27,1,28.000000
2022-08-28,0,27.000000
2022-08-28,1,27.000000
2022-08-29,0,28.000000
2022-08-29,1,27.000000
2022-08-30,0,28.000000
2022-08-30,1,30.000000
2022-08-31,0,30.000000
2022-08-31,1,27.000000
