day,time,value
2022-07-01,0,22.000000
2022-07-01,1,24.000000
2022-07-02,0,23.000000
2022-07-02,1,24.000000
2022-07-03,0,24.000000
2022-07-03,1,24.000000
2022-07-04,0,24.000000
2022-07-04,1,25.000000
2022-07-05,0,25.000000
2022-07-05,1,25.000000
2022-07-06,0,25.000000
2022-07-06,1,26.000000
2022-07-07,0,26.000000
2022-07-07,1,24.000000
2022-07-08,0,24.000000
2022-07-08,1,23.000000
2022-07-09,0,24.000000
2022-07-09,1,25.000000
2022-07-10,0,25.000000
2022-07-10,1,25.000000
2022-07-11,0,25.000000
2022-07-11,1,25.000000
2022-07-12,0,24.000000
2022-07-12,1,25.000000
2022-07-13,0,25.000000
2022-07-13,1,23.000000
2022-07-14,0,23.000000
2022-07-14,1,23.000000
2022-07-15,0,22.000000
2022-07-15,1,23.000000
2022-07-16,0,22.000000
2022-07-16,1,23.000000
2022-07-17,0,23.000000
2022-07-17,1,24.000000
2022-07-18,0,24.000000
2022-07-18,1,22.000000
2022-07-19,0,22.000000
2022-07-19,1,24.000000
2022-07-20,0,24.000000
2022-07-20,1,22.000000
2022-07-21,0,22.000000
2022-07-21,1,22.000000
2022-07-22,0,21.000000
2022-07-22,1,23.000000
2022-07-23,0,23.000000
2022-07-23,1,23.000000
2022-07-24,0,23.000000
2022-07-24,1,23.000000
2022-07-25,0,23.000000
2022-07-25,1,23.000000
2022-07-26,0,22.000000
2022-07-26,1,22.000000
2022-07-27,0,23.000000
2022-07-27,1,24.000000
2022-07-28,0,24.000000
2022-07-28,1,25.000000
2022-07-29,0,25.000000
2022-07-29,1,26.000000
2022-07-30,0,26.000000
2022-07-30,1,25.000000
2022-07-31,0,25.000000
2022-07-31,1,25.000000
2022-08-01,0,26.000000
2022-08-01,1,25.000000
2022-08-02,0,25.000000
2022-08-02,1,25.000000
2022-08-03,0,25.000000
2022-08-03,1,25.000000
2022-08-04,0,25.000000
2022-08-04,1,25.000000
2022-08-05,0,25.000000
2022-08-05,1,25.000000
2022-08-06,0,26.000000
2022-08-06,1,26.000000
2022-08-07,0,26.000000
2022-08-07,1,26.000000
2022-08-08,0,26.000000
2022-08-08,1,26.000000
2022-08-09,0,26.000000
2022-08-09,1,26.000000
2022-08-10,0,26.000000
2022-08-10,1,25.000000
2022-08-11,0,25.000000
2022-08-11,1,24.000000
2022-08-12,0,24.000000
2022-08-12,1,26.000000
2022-08-13,0,26.000000
2022-08-13,1,26.000000
2022-08-14,0,26.000000
2022-08-14,1,26.000000
2022-08-15,0,25.000000
2022-08-15,1,22.000000
2022-08-16,0,24.000000
2022-08-16,1,21.000000
2022-08-17,0,21.000000
2022-08-17,1,22.000000
2022-08-18,0,21.000000
2022-08-18,1,26.000000
2022-08-19,0,26.000000
2022-08-19,1,23.000000
2022-08-20,0,22.000000
2022-08-20,1,23.000000
2022-08-21,0,23.000000
2022-08-21,1,23.000000
2022-08-22,0,24.000000
2022-08-22,1,22.000000
2022-08-23,0,23.000000
2022-08-23,1,22.000000
2022-08-24,0,22.000000
2022-08-24,1,21.000000
2022-08-25,0,20.000000
2022-08-25,1,20.000000
2022-08-26,0,20.000000
2022-08-26,1,16.000000
2022-08-27,0,16.000000
2022-08-27,1,18.000000
2022-08-28,0,19.000000
2022-08-28,1,21.000000
2022-08-29,0,21.000000
2022-08-29,1,23.000000
2022-08-30,0,22.000000
2022-08-30,1,20.000000
2022-08-31,0,20.000000
2022-08-31,1,20.000000
2022-09-01,0,20.000000
2022-09-01,1,21.000000
