day,time,value
2022-07-01,0,2.100000
2022-07-01,1,1.900000
2022-07-01,2,2.300000
2022-07-01,3,2.400000
2022-07-01,4,2.400000
2022-07-01,5,2.200000
2022-07-01,6,2.300000
2022-07-01,7,2.600000
2022-07-01,8,3.100000
2022-07-01,9,3.300000
2022-07-01,10,3.500000
2022-07-01,11,3.600000
2022-07-01,12,3.700000
2022-07-01,13,3.700000
2022-07-01,14,3.600000
2022-07-01,15,3.200000
2022-07-01,16,2.800000
2022-07-01,17,2.500000
2022-07-01,18,2.500000
2022-07-01,19,1.500000
2022-07-01,20,1.300000
2022-07-01,21,1.200000
2022-07-01,22,1.200000
2022-07-01,23,1.300000
2022-07-02,0,1.200000
2022-07-02,1,1.100000
2022-07-02,2,1.200000
2022-07-02,3,1.200000
2022-07-02,4,1.100000
2022-07-02,5,1.600000
2022-07-02,6,1.600000
2022-07-02,7,1.400000
2022-07-02,8,1.200000
2022-07-02,9,1.100000
2022-07-02,10,1.300000
2022-07-02,11,1.400000
2022-07-02,12,1.600000
2022-07-02,13,1.300000
2022-07-02,14,0.900000
2022-07-02,15,1.200000
2022-07-02,16,1.600000
2022-07-02,17,2.300000
2022-07-02,18,1.800000
2022-07-02,19,1.600000
2022-07-02,20,1.300000
2022-07-02,21,0.900000
2022-07-02,22,1.000000
2022-07-02,23,1.000000
2022-07-03,0,1.900000
2022-07-03,1,1.800000
2022-07-03,2,1.500000
2022-07-03,3,1.400000
2022-07-03,4,1.100000
2022-07-03,5,1.100000
2022-07-03,6,1.100000
2022-07-03,7,1.500000
2022-07-03,8,1.700000
2022-07-03,9,2.200000
2022-07-03,10,2.600000
2022-07-03,11,2.900000
2022-07-03,12,3.100000
2022-07-03,13,3.200000
2022-07-03,14,3.100000
2022-07-03,15,3.000000
2022-07-03,16,3.200000
2022-07-03,17,3.000000
2022-07-03,18,2.400000
2022-07-03,19,1.200000
2022-07-03,20,0.900000
2022-07-03,21,1.000000
2022-07-03,22,1.100000
2022-07-03,23,1.000000
2022-07-04,0,2.800000
2022-07-04,1,2.800000
2022-07-04,2,2.800000
2022-07-04,3,2.100000
2022-07-04,4,1.700000
2022-07-04,5,1.600000
2022-07-04,6,1.800000
2022-07-04,7,2.300000
2022-07-04,8,3.000000
2022-07-04,9,3.200000
2022-07-04,10,2.900000
2022-07-04,11,2.600000
2022-07-04,12,2.800000
2022-07-04,13,2.800000
2022-07-04,14,2.700000
2022-07-04,15,2.400000
2022-07-04,16,1.900000
2022-07-04,17,1.200000
2022-07-04,18,1.000000
2022-07-04,19,1.000000
2022-07-04,20,1.100000
2022-07-04,21,1.200000
2022-07-04,22,0.900000
2022-07-04,23,1.000000
2022-07-05,0,0.700000
2022-07-05,1,0.800000
2022-07-05,2,0.800000
2022-07-05,3,0.800000
2022-07-05,4,0.800000
2022-07-05,5,0.900000
2022-07-05,6,0.800000
2022-07-05,7,1.100000
2022-07-05,8,1.300000
2022-07-05,9,1.300000
2022-07-05,10,1.400000
2022-07-05,11,1.300000
2022-07-05,12,1.200000
2022-07-05,13,0.800000
2022-07-05,14,1.100000
2022-07-05,15,1.700000
2022-07-05,16,2.000000
2022-07-05,17,2.100000
2022-07-05,18,2.000000
2022-07-05,19,1.600000
2022-07-05,20,1.200000
2022-07-05,21,0.800000
2022-07-05,22,0.300000
2022-07-05,23,0.400000
2022-07-06,0,0.700000
2022-07-06,1,0.900000
2022-07-06,2,1.200000
2022-07-06,3,1.100000
2022-07-06,4,1.100000
2022-07-06,5,1.100000
2022-07-06,6,1.200000
2022-07-06,7,1.700000
2022-07-06,8,2.100000
2022-07-06,9,2.200000
2022-07-06,10,2.400000
2022-07-06,11,2.700000
2022-07-06,12,3.100000
2022-07-06,13,3.500000
2022-07-06,14,3.700000
2022-07-06,15,3.600000
2022-07-06,16,3.500000
2022-07-06,17,3.400000
2022-07-06,18,3.200000
2022-07-06,19,2.500000
2022-07-06,20,2.500000
2022-07-06,21,2.500000
2022-07-06,22,2.500000
2022-07-06,23,2.600000
2022-07-07,0,3.000000
2022-07-07,1,3.200000
2022-07-07,2,3.000000
2022-07-07,3,3.100000
2022-07-07,4,3.000000
2022-07-07,5,3.100000
2022-07-07,6,3.300000
2022-07-07,7,3.600000
2022-07-07,8,4.000000
2022-07-07,9,4.000000
2022-07-07,10,4.500000
2022-07-07,11,4.500000
2022-07-07,12,4.600000
2022-07-07,13,4.200000
2022-07-07,14,3.600000
2022-07-07,15,2.700000
2022-07-07,16,3.100000
2022-07-07,17,2.800000
2022-07-07,18,2.500000
2022-07-07,19,2.300000
2022-07-07,20,2.400000
2022-07-07,21,2.700000
2022-07-07,22,2.600000
2022-07-07,23,2.500000
2022-07-08,0,3.000000
2022-07-08,1,2.600000
2022-07-08,2,2.700000
2022-07-08,3,2.400000
2022-07-08,4,2.200000
2022-07-08,5,1.600000
2022-07-08,6,1.400000
2022-07-08,7,1.300000
2022-07-08,8,2.000000
2022-07-08,9,2.200000
2022-07-08,10,2.400000
2022-07-08,11,2.900000
2022-07-08,12,3.100000
2022-07-08,13,3.300000
2022-07-08,14,3.400000
2022-07-08,15,3.600000
2022-07-08,16,3.400000
2022-07-08,17,3.200000
2022-07-08,18,2.900000
2022-07-08,19,2.000000
2022-07-08,20,1.700000
2022-07-08,21,1.600000
2022-07-08,22,1.300000
2022-07-08,23,1.100000
2022-07-09,0,0.900000
2022-07-09,1,0.900000
2022-07-09,2,1.000000
2022-07-09,3,1.600000
2022-07-09,4,1.800000
2022-07-09,5,1.400000
2022-07-09,6,1.600000
2022-07-09,7,1.800000
2022-07-09,8,2.000000
2022-07-09,9,2.100000
2022-07-09,10,2.300000
2022-07-09,11,2.700000
2022-07-09,12,2.700000
2022-07-09,13,2.700000
2022-07-09,14,2.600000
2022-07-09,15,2.400000
2022-07-09,16,2.400000
2022-07-09,17,2.300000
2022-07-09,18,2.200000
2022-07-09,19,1.400000
2022-07-09,20,1.400000
2022-07-09,21,1.200000
2022-07-09,22,1.200000
2022-07-09,23,0.900000
2022-07-10,0,0.800000
2022-07-10,1,1.000000
2022-07-10,2,1.200000
2022-07-10,3,1.200000
2022-07-10,4,0.700000
2022-07-10,5,0.700000
2022-07-10,6,0.700000
2022-07-10,7,0.900000
2022-07-10,8,1.400000
2022-07-10,9,1.200000
2022-07-10,10,0.700000
2022-07-10,11,0.900000
2022-07-10,12,1.400000
2022-07-10,13,2.300000
2022-07-10,14,3.700000
2022-07-10,15,2.800000
2022-07-10,16,1.100000
2022-07-10,17,0.700000
2022-07-10,18,0.800000
2022-07-10,19,0.500000
2022-07-10,20,1.100000
2022-07-10,21,1.600000
2022-07-10,22,1.400000
2022-07-10,23,1.700000
2022-07-11,0,1.600000
2022-07-11,1,2.300000
2022-07-11,2,2.400000
2022-07-11,3,2.300000
2022-07-11,4,2.300000
2022-07-11,5,2.200000
2022-07-11,6,2.000000
2022-07-11,7,2.500000
2022-07-11,8,2.400000
2022-07-11,9,3.300000
2022-07-11,10,3.100000
2022-07-11,11,3.600000
2022-07-11,12,3.800000
2022-07-11,13,4.100000
2022-07-11,14,3.800000
2022-07-11,15,3.600000
2022-07-11,16,3.000000
2022-07-11,17,2.700000
2022-07-11,18,2.400000
2022-07-11,19,2.100000
2022-07-11,20,1.700000
2022-07-11,21,1.600000
2022-07-11,22,1.700000
2022-07-11,23,1.700000
2022-07-12,0,0.900000
2022-07-12,1,0.900000
2022-07-12,2,1.000000
2022-07-12,3,0.700000
2022-07-12,4,0.800000
2022-07-12,5,0.800000
2022-07-12,6,0.800000
2022-07-12,7,1.300000
2022-07-12,8,1.500000
2022-07-12,9,1.600000
2022-07-12,10,1.900000
2022-07-12,11,1.700000
2022-07-12,12,1.900000
2022-07-12,13,2.000000
2022-07-12,14,2.100000
2022-07-12,15,2.200000
2022-07-12,16,1.900000
2022-07-12,17,1.700000
2022-07-12,18,1.800000
2022-07-12,19,1.800000
2022-07-12,20,1.800000
2022-07-12,21,2.200000
2022-07-12,22,2.600000
2022-07-12,23,2.800000
2022-07-13,0,3.300000
2022-07-13,1,2.400000
2022-07-13,2,3.000000
2022-07-13,3,3.200000
2022-07-13,4,3.100000
2022-07-13,5,3.100000
2022-07-13,6,3.000000
2022-07-13,7,3.900000
2022-07-13,8,3.700000
2022-07-13,9,4.000000
2022-07-13,10,3.600000
2022-07-13,11,3.600000
2022-07-13,12,3.500000
2022-07-13,13,3.500000
2022-07-13,14,3.300000
2022-07-13,15,3.800000
2022-07-13,16,3.700000
2022-07-13,17,3.300000
2022-07-13,18,3.100000
2022-07-13,19,2.800000
2022-07-13,20,2.900000
2022-07-13,21,3.200000
2022-07-13,22,3.200000
2022-07-13,23,3.400000
2022-07-14,0,3.200000
2022-07-14,1,3.200000
2022-07-14,2,2.900000
2022-07-14,3,3.300000
2022-07-14,4,2.600000
2022-07-14,5,2.100000
2022-07-14,6,1.600000
2022-07-14,7,2.000000
2022-07-14,8,2.600000
2022-07-14,9,3.000000
2022-07-14,10,3.400000
2022-07-14,11,3.400000
2022-07-14,12,3.500000
2022-07-14,13,3.400000
2022-07-14,14,2.900000
2022-07-14,15,3.000000
2022-07-14,16,3.000000
2022-07-14,17,2.900000
2022-07-14,18,2.700000
2022-07-14,19,1.700000
2022-07-14,20,1.300000
2022-07-14,21,1.200000
2022-07-14,22,1.200000
2022-07-14,23,1.100000
2022-07-15,0,0.900000
