day,time,value
2022-07-01,0,1.000000
2022-07-01,1,1.000000
2022-07-01,2,1.000000
2022-07-01,3,1.000000
2022-07-01,4,1.000000
2022-07-01,5,1.000000
2022-07-01,6,1.000000
2022-07-01,7,3.000000
2022-07-01,8,4.000000
2022-07-01,9,4.000000
2022-07-01,10,4.000000
2022-07-01,11,3.000000
2022-07-01,12,4.000000
2022-07-01,13,3.000000
2022-07-01,14,3.000000
2022-07-01,15,1.000000
2022-07-01,16,1.000000
2022-07-01,17,1.000000
2022-07-01,18,1.000000
2022-07-01,19,1.000000
2022-07-01,20,1.000000
2022-07-01,21,1.000000
2022-07-01,22,1.000000
2022-07-01,23,1.000000
2022-07-02,0,1.000000
2022-07-02,1,1.000000
2022-07-02,2,1.000000
2022-07-02,3,1.000000
2022-07-02,4,1.000000
2022-07-02,5,1.000000
2022-07-02,6,1.000000
2022-07-02,7,1.000000
2022-07-02,8,1.000000
2022-07-02,9,1.000000
2022-07-02,10,1.000000
2022-07-02,11,1.000000
2022-07-02,12,1.000000
2022-07-02,13,1.000000
2022-07-02,14,3.000000
2022-07-02,15,3.000000
2022-07-02,16,3.000000
2022-07-02,17,3.000000
2022-07-02,18,3.000000
2022-07-02,19,3.000000
2022-07-02,20,1.000000
2022-07-02,21,1.000000
2022-07-02,22,1.000000
2022-07-02,23,1.000000
2022-07-03,0,4.000000
2022-07-03,1,3.000000
2022-07-03,2,4.000000
2022-07-03,3,4.000000
2022-07-03,4,4.000000
2022-07-03,5,4.000000
2022-07-03,6,4.000000
2022-07-03,7,4.000000
2022-07-03,8,4.000000
2022-07-03,9,3.000000
2022-07-03,10,3.000000
2022-07-03,11,3.000000
2022-07-03,12,4.000000
2022-07-03,13,4.000000
2022-07-03,14,4.000000
2022-07-03,15,4.000000
2022-07-03,16,3.000000
2022-07-03,17,3.000000
2022-07-03,18,4.000000
2022-07-03,19,4.000000
2022-07-03,20,3.000000
2022-07-03,21,3.000000
2022-07-03,22,3.000000
2022-07-03,23,4.000000
2022-07-04,0,4.000000
2022-07-04,1,4.000000
2022-07-04,2,4.000000
2022-07-04,3,4.000000
2022-07-04,4,4.000000
2022-07-04,5,4.000000
2022-07-04,6,4.000000
2022-07-04,7,3.000000
2022-07-04,8,4.000000
2022-07-04,9,4.000000
2022-07-04,10,3.000000
2022-07-04,11,3.000000
2022-07-04,12,3.000000
2022-07-04,13,3.000000
2022-07-04,14,3.000000
2022-07-04,15,4.000000
2022-07-04,16,4.000000
2022-07-04,17,4.000000
2022-07-04,18,4.000000
2022-07-04,19,4.000000
2022-07-04,20,4.000000
2022-07-04,21,4.000000
2022-07-04,22,4.000000
2022-07-04,23,3.000000
2022-07-05,0,4.000000
2022-07-05,1,4.000000
2022-07-05,2,4.000000
2022-07-05,3,4.000000
2022-07-05,4,4.000000
2022-07-05,5,4.000000
2022-07-05,6,4.000000
2022-07-05,7,4.000000
2022-07-05,8,4.000000
2022-07-05,9,4.000000
2022-07-05,10,4.000000
2022-07-05,11,4.000000
2022-07-05,12,4.000000
2022-07-05,13,4.000000
2022-07-05,14,4.000000
2022-07-05,15,4.000000
2022-07-05,16,4.000000
2022-07-05,17,4.000000
2022-07-05,18,4.000000
2022-07-05,19,4.000000
2022-07-05,20,4.000000
2022-07-05,21,4.000000
2022-07-05,22,4.000000
2022-07-05,23,4.000000
2022-07-06,0,3.000000
2022-07-06,1,3.000000
2022-07-06,2,4.000000
2022-07-06,3,4.000000
2022-07-06,4,4.000000
2022-07-06,5,3.000000
2022-07-06,6,4.000000
2022-07-06,7,4.000000
