day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-08-28,0,0.0,15.7,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,1,0.0,15.7,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,2,0.0,14.4,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,3,0.0,13.7,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,4,0.0,15.8,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,5,0.0,15.3,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,6,0.0,15.5,0.0,13.3,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.1
2022-08-28,7,55.0,16.8,51.0,14.5,2.6,1.8,0.9,0.8,0.9,2.8,0.8,1.8,1.3,1.7,3.3,2.5,4.4,5.2,2.1
2022-08-28,8,191.0,20.5,169.0,20.0,11.9,7.1,4.6,4.0,4.8,11.5,2.3,5.9,4.5,5.9,10.6,8.7,16.1,16.9,7.2
2022-08-28,9,603.0,24.4,551.0,28.3,36.5,23.1,17.9,11.8,14.4,39.0,6.4,17.4,13.8,17.7,32.0,27.1,50.9,50.5,21.2
2022-08-28,10,509.0,26.8,508.0,36.4,48.8,22.0,13.9,13.0,16.3,35.8,7.7,19.2,16.4,19.9,31.9,29.4,52.3,53.0,25.1
2022-08-28,11,649.0,30.8,664.0,42.3,51.6,24.4,16.7,16.4,21.1,45.6,8.4,23.2,17.0,23.1,39.4,35.6,66.9,67.6,31.0
2022-08-28,12,901.0,40.3,952.0,54.2,67.1,30.4,19.9,18.4,25.7,61.3,9.9,29.0,22.5,31.3,49.4,44.7,83.1,81.9,34.5
2022-08-28,13,774.0,41.6,870.0,53.2,57.6,26.8,16.9,13.9,21.8,56.1,8.2,23.9,19.4,27.4,41.4,37.6,69.7,74.1,29.7
2022-08-28,14,853.0,41.9,994.0,53.2,64.7,29.8,18.7,18.3,28.0,63.0,10.3,30.5,22.5,31.5,50.1,45.6,84.2,87.6,34.7
2022-08-28,15,572.0,39.3,605.0,47.9,40.5,21.5,12.7,14.0,22.7,46.1,8.8,23.7,17.0,23.9,38.2,32.8,67.0,66.0,25.6
2022-08-28,16,613.0,39.4,693.0,47.7,44.7,23.4,13.2,13.9,26.0,47.7,9.2,27.3,20.0,27.5,45.5,41.2,77.4,79.4,32.6
2022-08-28,17,293.0,33.1,318.0,34.9,17.8,10.5,5.3,5.0,9.0,21.6,3.9,9.2,8.5,10.1,17.1,14.2,27.3,26.8,12.8
2022-08-28,18,55.0,27.0,56.0,25.8,2.5,1.8,0.8,0.0,1.1,2.6,0.8,1.9,1.3,1.7,3.4,2.6,4.7,5.4,2.2
2022-08-28,19,0.0,24.6,0.0,23.0,0.0,0.0,0.0,0.0,-0.3,-0.5,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0
2022-08-28,20,0.0,23.4,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,21,0.0,23.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,22,0.0,21.8,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-28,23,0.0,22.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
