day,time,value
2022-07-01,0,0.000000
2022-07-01,1,0.000000
2022-07-01,2,0.000000
2022-07-01,3,0.000000
2022-07-01,4,0.000000
2022-07-01,5,0.000000
2022-07-01,6,0.000000
2022-07-01,7,20.000000
2022-07-01,8,30.000000
2022-07-01,9,30.000000
2022-07-01,10,30.000000
2022-07-01,11,20.000000
2022-07-01,12,30.000000
2022-07-01,13,20.000000
2022-07-01,14,20.000000
2022-07-01,15,0.000000
2022-07-01,16,0.000000
2022-07-01,17,0.000000
2022-07-01,18,0.000000
2022-07-01,19,0.000000
2022-07-01,20,0.000000
2022-07-01,21,0.000000
2022-07-01,22,0.000000
2022-07-01,23,0.000000
2022-07-02,0,0.000000
2022-07-02,1,0.000000
2022-07-02,2,0.000000
2022-07-02,3,0.000000
2022-07-02,4,0.000000
2022-07-02,5,0.000000
2022-07-02,6,0.000000
2022-07-02,7,0.000000
2022-07-02,8,0.000000
2022-07-02,9,0.000000
2022-07-02,10,0.000000
2022-07-02,11,0.000000
2022-07-02,12,0.000000
2022-07-02,13,0.000000
2022-07-02,14,20.000000
2022-07-02,15,20.000000
2022-07-02,16,20.000000
2022-07-02,17,20.000000
2022-07-02,18,60.000000
2022-07-02,19,60.000000
2022-07-02,20,0.000000
2022-07-02,21,0.000000
2022-07-02,22,0.000000
2022-07-02,23,0.000000
2022-07-03,0,30.000000
2022-07-03,1,20.000000
2022-07-03,2,30.000000
2022-07-03,3,30.000000
2022-07-03,4,30.000000
2022-07-03,5,30.000000
2022-07-03,6,30.000000
2022-07-03,7,30.000000
2022-07-03,8,30.000000
2022-07-03,9,20.000000
2022-07-03,10,20.000000
2022-07-03,11,20.000000
2022-07-03,12,30.000000
2022-07-03,13,60.000000
2022-07-03,14,60.000000
2022-07-03,15,79.000000
2022-07-03,16,20.000000
2022-07-03,17,20.000000
2022-07-03,18,30.000000
2022-07-03,19,60.000000
2022-07-03,20,20.000000
2022-07-03,21,20.000000
2022-07-03,22,20.000000
2022-07-03,23,30.000000
2022-07-04,0,30.000000
2022-07-04,1,30.000000
2022-07-04,2,30.000000
2022-07-04,3,30.000000
2022-07-04,4,30.000000
2022-07-04,5,30.000000
2022-07-04,6,30.000000
2022-07-04,7,20.000000
2022-07-04,8,30.000000
2022-07-04,9,30.000000
2022-07-04,10,20.000000
2022-07-04,11,20.000000
2022-07-04,12,20.000000
2022-07-04,13,20.000000
2022-07-04,14,60.000000
2022-07-04,15,30.000000
2022-07-04,16,30.000000
2022-07-04,17,60.000000
2022-07-04,18,60.000000
2022-07-04,19,30.000000
2022-07-04,20,60.000000
2022-07-04,21,30.000000
2022-07-04,22,30.000000
2022-07-04,23,20.000000
2022-07-05,0,30.000000
2022-07-05,1,30.000000
2022-07-05,2,30.000000
2022-07-05,3,30.000000
2022-07-05,4,30.000000
2022-07-05,5,30.000000
2022-07-05,6,30.000000
2022-07-05,7,30.000000
2022-07-05,8,30.000000
2022-07-05,9,30.000000
2022-07-05,10,30.000000
2022-07-05,11,30.000000
