day,time,value
2022-07-01,0,90.000000
2022-07-01,1,95.000000
2022-07-01,2,95.000000
2022-07-01,3,95.000000
2022-07-01,4,95.000000
2022-07-01,5,95.000000
2022-07-01,6,95.000000
2022-07-01,7,85.000000
2022-07-01,8,85.000000
2022-07-01,9,75.000000
2022-07-01,10,70.000000
2022-07-01,11,65.000000
2022-07-01,12,60.000000
2022-07-01,13,60.000000
2022-07-01,14,55.000000
2022-07-01,15,55.000000
2022-07-01,16,50.000000
2022-07-01,17,50.000000
2022-07-01,18,55.000000
2022-07-01,19,65.000000
2022-07-01,20,70.000000
2022-07-01,21,80.000000
2022-07-01,22,85.000000
2022-07-01,23,90.000000
2022-07-02,0,90.000000
2022-07-02,1,90.000000
2022-07-02,2,90.000000
2022-07-02,3,95.000000
2022-07-02,4,95.000000
2022-07-02,5,95.000000
2022-07-02,6,95.000000
2022-07-02,7,90.000000
2022-07-02,8,85.000000
2022-07-02,9,75.000000
2022-07-02,10,65.000000
2022-07-02,11,55.000000
2022-07-02,12,50.000000
2022-07-02,13,50.000000
2022-07-02,14,45.000000
2022-07-02,15,45.000000
2022-07-02,16,40.000000
2022-07-02,17,40.000000
2022-07-02,18,60.000000
2022-07-02,19,60.000000
2022-07-02,20,65.000000
2022-07-02,21,70.000000
2022-07-02,22,75.000000
2022-07-02,23,80.000000
2022-07-03,0,85.000000
2022-07-03,1,85.000000
2022-07-03,2,90.000000
2022-07-03,3,90.000000
2022-07-03,4,90.000000
2022-07-03,5,90.000000
2022-07-03,6,90.000000
2022-07-03,7,85.000000
2022-07-03,8,75.000000
2022-07-03,9,70.000000
2022-07-03,10,60.000000
2022-07-03,11,60.000000
2022-07-03,12,55.000000
2022-07-03,13,60.000000
2022-07-03,14,60.000000
2022-07-03,15,65.000000
2022-07-03,16,60.000000
2022-07-03,17,60.000000
2022-07-03,18,65.000000
2022-07-03,19,70.000000
2022-07-03,20,75.000000
2022-07-03,21,75.000000
2022-07-03,22,80.000000
2022-07-03,23,85.000000
2022-07-04,0,85.000000
2022-07-04,1,85.000000
2022-07-04,2,85.000000
2022-07-04,3,90.000000
2022-07-04,4,90.000000
2022-07-04,5,90.000000
2022-07-04,6,90.000000
2022-07-04,7,85.000000
2022-07-04,8,80.000000
2022-07-04,9,75.000000
2022-07-04,10,70.000000
2022-07-04,11,65.000000
2022-07-04,12,65.000000
2022-07-04,13,60.000000
2022-07-04,14,60.000000
2022-07-04,15,65.000000
2022-07-04,16,65.000000
2022-07-04,17,65.000000
2022-07-04,18,65.000000
2022-07-04,19,75.000000
2022-07-04,20,80.000000
2022-07-04,21,80.000000
2022-07-04,22,85.000000
2022-07-04,23,90.000000
2022-07-05,0,90.000000
2022-07-05,1,90.000000
2022-07-05,2,95.000000
2022-07-05,3,90.000000
2022-07-05,4,95.000000
2022-07-05,5,95.000000
2022-07-05,6,95.000000
2022-07-05,7,90.000000
2022-07-05,8,85.000000
2022-07-05,9,80.000000
2022-07-05,10,75.000000
2022-07-05,11,70.000000
2022-07-05,12,70.000000
2022-07-05,13,65.000000
2022-07-05,14,65.000000
2022-07-05,15,65.000000
2022-07-05,16,65.000000
2022-07-05,17,65.000000
2022-07-05,18,70.000000
2022-07-05,19,75.000000
2022-07-05,20,80.000000
2022-07-05,21,80.000000
2022-07-05,22,85.000000
2022-07-05,23,85.000000
2022-07-06,0,90.000000
2022-07-06,1,95.000000
2022-07-06,2,95.000000
2022-07-06,3,95.000000
2022-07-06,4,95.000000
2022-07-06,5,95.000000
2022-07-06,6,95.000000
2022-07-06,7,90.000000
2022-07-06,8,85.000000
2022-07-06,9,80.000000
2022-07-06,10,70.000000
2022-07-06,11,65.000000
2022-07-06,12,65.000000
2022-07-06,13,60.000000
2022-07-06,14,60.000000
2022-07-06,15,60.000000
2022-07-06,16,60.000000
2022-07-06,17,60.000000
2022-07-06,18,65.000000
2022-07-06,19,70.000000
2022-07-06,20,75.000000
2022-07-06,21,80.000000
2022-07-06,22,85.000000
2022-07-06,23,85.000000
2022-07-07,0,90.000000
2022-07-07,1,90.000000
2022-07-07,2,90.000000
2022-07-07,3,90.000000
2022-07-07,4,90.000000
2022-07-07,5,90.000000
2022-07-07,6,90.000000
2022-07-07,7,85.000000
2022-07-07,8,80.000000
2022-07-07,9,75.000000
2022-07-07,10,70.000000
2022-07-07,11,70.000000
2022-07-07,12,65.000000
2022-07-07,13,70.000000
2022-07-07,14,70.000000
2022-07-07,15,75.000000
2022-07-07,16,75.000000
2022-07-07,17,80.000000
2022-07-07,18,80.000000
2022-07-07,19,85.000000
2022-07-07,20,85.000000
2022-07-07,21,85.000000
2022-07-07,22,90.000000
2022-07-07,23,90.000000
2022-07-08,0,90.000000
2022-07-08,1,95.000000
2022-07-08,2,95.000000
2022-07-08,3,95.000000
2022-07-08,4,95.000000
2022-07-08,5,95.000000
2022-07-08,6,95.000000
2022-07-08,7,90.000000
2022-07-08,8,90.000000
2022-07-08,9,90.000000
2022-07-08,10,85.000000
2022-07-08,11,85.000000
2022-07-08,12,80.000000
2022-07-08,13,75.000000
2022-07-08,14,75.000000
2022-07-08,15,70.000000
2022-07-08,16,70.000000
2022-07-08,17,70.000000
2022-07-08,18,75.000000
2022-07-08,19,75.000000
2022-07-08,20,80.000000
2022-07-08,21,85.000000
2022-07-08,22,90.000000
2022-07-08,23,95.000000
2022-07-09,0,95.000000
2022-07-09,1,95.000000
2022-07-09,2,95.000000
2022-07-09,3,95.000000
2022-07-09,4,95.000000
2022-07-09,5,95.000000
2022-07-09,6,95.000000
2022-07-09,7,90.000000
2022-07-09,8,85.000000
2022-07-09,9,80.000000
2022-07-09,10,75.000000
2022-07-09,11,70.000000
2022-07-09,12,70.000000
2022-07-09,13,65.000000
2022-07-09,14,65.000000
2022-07-09,15,60.000000
2022-07-09,16,60.000000
2022-07-09,17,60.000000
2022-07-09,18,65.000000
2022-07-09,19,70.000000
2022-07-09,20,80.000000
2022-07-09,21,85.000000
2022-07-09,22,90.000000
2022-07-09,23,90.000000
2022-07-10,0,90.000000
2022-07-10,1,90.000000
2022-07-10,2,95.000000
2022-07-10,3,95.000000
2022-07-10,4,95.000000
2022-07-10,5,95.000000
2022-07-10,6,95.000000
2022-07-10,7,90.000000
2022-07-10,8,80.000000
2022-07-10,9,75.000000
2022-07-10,10,70.000000
2022-07-10,11,65.000000
2022-07-10,12,60.000000
2022-07-10,13,55.000000
2022-07-10,14,55.000000
2022-07-10,15,60.000000
2022-07-10,16,60.000000
2022-07-10,17,60.000000
2022-07-10,18,70.000000
2022-07-10,19,75.000000
2022-07-10,20,80.000000
2022-07-10,21,80.000000
2022-07-10,22,85.000000
2022-07-10,23,85.000000
2022-07-11,0,85.000000
2022-07-11,1,90.000000
2022-07-11,2,90.000000
2022-07-11,3,90.000000
2022-07-11,4,90.000000
2022-07-11,5,90.000000
2022-07-11,6,90.000000
2022-07-11,7,90.000000
2022-07-11,8,90.000000
2022-07-11,9,85.000000
2022-07-11,10,85.000000
2022-07-11,11,80.000000
2022-07-11,12,80.000000
2022-07-11,13,75.000000
2022-07-11,14,80.000000
2022-07-11,15,80.000000
2022-07-11,16,75.000000
2022-07-11,17,75.000000
2022-07-11,18,80.000000
2022-07-11,19,80.000000
2022-07-11,20,85.000000
2022-07-11,21,85.000000
2022-07-11,22,90.000000
2022-07-11,23,90.000000
2022-07-12,0,95.000000
2022-07-12,1,95.000000
2022-07-12,2,95.000000
2022-07-12,3,95.000000
2022-07-12,4,95.000000
2022-07-12,5,95.000000
2022-07-12,6,95.000000
2022-07-12,7,90.000000
2022-07-12,8,90.000000
2022-07-12,9,85.000000
2022-07-12,10,80.000000
2022-07-12,11,80.000000
2022-07-12,12,75.000000
2022-07-12,13,75.000000
2022-07-12,14,70.000000
2022-07-12,15,70.000000
