day,time,value
2022-07-01,0,137.000000
2022-07-01,1,141.000000
2022-07-01,2,146.000000
2022-07-01,3,150.000000
2022-07-01,4,158.000000
2022-07-01,5,159.000000
2022-07-01,6,157.000000
2022-07-01,7,157.000000
2022-07-01,8,155.000000
2022-07-01,9,153.000000
2022-07-01,10,155.000000
2022-07-01,11,153.000000
2022-07-01,12,153.000000
2022-07-01,13,156.000000
2022-07-01,14,161.000000
2022-07-01,15,162.000000
2022-07-01,16,162.000000
2022-07-01,17,154.000000
2022-07-01,18,153.000000
2022-07-01,19,152.000000
2022-07-01,20,151.000000
2022-07-01,21,145.000000
2022-07-01,22,132.000000
2022-07-01,23,129.000000
2022-07-02,0,121.000000
2022-07-02,1,117.000000
2022-07-02,2,121.000000
2022-07-02,3,121.000000
2022-07-02,4,117.000000
2022-07-02,5,125.000000
2022-07-02,6,120.000000
2022-07-02,7,120.000000
2022-07-02,8,125.000000
2022-07-02,9,135.000000
2022-07-02,10,141.000000
2022-07-02,11,141.000000
2022-07-02,12,128.000000
2022-07-02,13,119.000000
2022-07-02,14,103.000000
2022-07-02,15,104.000000
2022-07-02,16,128.000000
2022-07-02,17,151.000000
2022-07-02,18,177.000000
2022-07-02,19,187.000000
2022-07-02,20,184.000000
2022-07-02,21,193.000000
2022-07-02,22,156.000000
2022-07-02,23,119.000000
2022-07-03,0,125.000000
2022-07-03,1,117.000000
2022-07-03,2,105.000000
2022-07-03,3,105.000000
2022-07-03,4,110.000000
2022-07-03,5,110.000000
2022-07-03,6,110.000000
2022-07-03,7,128.000000
2022-07-03,8,129.000000
2022-07-03,9,141.000000
2022-07-03,10,145.000000
2022-07-03,11,143.000000
2022-07-03,12,146.000000
2022-07-03,13,160.000000
2022-07-03,14,158.000000
2022-07-03,15,156.000000
2022-07-03,16,157.000000
2022-07-03,17,163.000000
2022-07-03,18,165.000000
2022-07-03,19,162.000000
2022-07-03,20,160.000000
2022-07-03,21,160.000000
2022-07-03,22,148.000000
2022-07-03,23,144.000000
2022-07-04,0,135.000000
2022-07-04,1,139.000000
2022-07-04,2,134.000000
2022-07-04,3,125.000000
2022-07-04,4,115.000000
2022-07-04,5,112.000000
2022-07-04,6,106.000000
2022-07-04,7,115.000000
2022-07-04,8,120.000000
2022-07-04,9,122.000000
2022-07-04,10,124.000000
2022-07-04,11,127.000000
2022-07-04,12,129.000000
2022-07-04,13,134.000000
