day,time,강수확률,일최저기온,1시간기온,하늘상태,일최고기온,습도,풍향,1시간강수량,풍속
2022-07-01,0,0.0,24.0,25.0,1.0,32.0,90.0,137.0,0.0,2.1
2022-07-01,1,0.0,24.0,25.0,1.0,32.0,95.0,141.0,0.0,1.9
2022-07-01,2,0.0,24.0,24.0,1.0,32.0,95.0,146.0,0.0,2.3
2022-07-01,3,0.0,24.0,24.0,1.0,32.0,95.0,150.0,0.0,2.4
2022-07-01,4,0.0,24.0,24.0,1.0,32.0,95.0,158.0,0.0,2.4
2022-07-01,5,0.0,24.0,24.0,1.0,32.0,95.0,159.0,0.0,2.2
2022-07-01,6,0.0,24.0,24.0,1.0,32.0,95.0,157.0,0.0,2.3
2022-07-01,7,20.0,24.0,25.0,3.0,32.0,85.0,157.0,0.0,2.6
2022-07-01,8,30.0,24.0,27.0,4.0,32.0,85.0,155.0,0.0,3.1
2022-07-01,9,30.0,24.0,28.0,4.0,32.0,75.0,153.0,0.0,3.3
2022-07-01,10,30.0,24.0,29.0,4.0,32.0,70.0,155.0,0.0,3.5
2022-07-01,11,20.0,24.0,30.0,3.0,32.0,65.0,153.0,0.0,3.6
2022-07-01,12,30.0,24.0,31.0,4.0,32.0,60.0,153.0,0.0,3.7
2022-07-01,13,20.0,24.0,32.0,3.0,32.0,60.0,156.0,0.0,3.7
2022-07-01,14,20.0,24.0,32.0,3.0,32.0,55.0,161.0,0.0,3.6
2022-07-01,15,0.0,24.0,32.0,1.0,32.0,55.0,162.0,0.0,3.2
2022-07-01,16,0.0,24.0,32.0,1.0,32.0,50.0,162.0,0.0,2.8
2022-07-01,17,0.0,24.0,32.0,1.0,32.0,50.0,154.0,0.0,2.5
2022-07-01,18,0.0,24.0,31.0,1.0,32.0,55.0,153.0,0.0,2.5
2022-07-01,19,0.0,24.0,29.0,1.0,32.0,65.0,152.0,0.0,1.5
2022-07-01,20,0.0,24.0,28.0,1.0,32.0,70.0,151.0,0.0,1.3
2022-07-01,21,0.0,24.0,26.0,1.0,32.0,80.0,145.0,0.0,1.2
2022-07-01,22,0.0,24.0,25.0,1.0,32.0,85.0,132.0,0.0,1.2
2022-07-01,23,0.0,24.0,25.0,1.0,32.0,90.0,129.0,0.0,1.3
2022-07-02,0,0.0,24.0,24.0,1.0,32.0,90.0,121.0,0.0,1.2
2022-07-02,1,0.0,24.0,23.0,1.0,32.0,90.0,117.0,0.0,1.1
2022-07-02,2,0.0,24.0,23.0,1.0,32.0,90.0,121.0,0.0,1.2
2022-07-02,3,0.0,24.0,23.0,1.0,32.0,95.0,121.0,0.0,1.2
2022-07-02,4,0.0,24.0,22.0,1.0,32.0,95.0,117.0,0.0,1.1
2022-07-02,5,0.0,24.0,22.0,1.0,32.0,95.0,125.0,0.0,1.6
2022-07-02,6,0.0,24.0,22.0,1.0,32.0,95.0,120.0,0.0,1.6
2022-07-02,7,0.0,24.0,24.0,1.0,32.0,90.0,120.0,0.0,1.4
2022-07-02,8,0.0,24.0,26.0,1.0,32.0,85.0,125.0,0.0,1.2
2022-07-02,9,0.0,24.0,28.0,1.0,32.0,75.0,135.0,0.0,1.1
2022-07-02,10,0.0,24.0,30.0,1.0,32.0,65.0,141.0,0.0,1.3
2022-07-02,11,0.0,24.0,31.0,1.0,32.0,55.0,141.0,0.0,1.4
2022-07-02,12,0.0,24.0,33.0,1.0,32.0,50.0,128.0,0.0,1.6
2022-07-02,13,0.0,24.0,34.0,1.0,32.0,50.0,119.0,0.0,1.3
2022-07-02,14,20.0,24.0,35.0,3.0,32.0,45.0,103.0,0.0,0.9
2022-07-02,15,20.0,24.0,35.0,3.0,32.0,45.0,104.0,0.0,1.2
2022-07-02,16,20.0,24.0,35.0,3.0,32.0,40.0,128.0,0.0,1.6
2022-07-02,17,20.0,24.0,34.0,3.0,32.0,40.0,151.0,0.0,2.3
2022-07-02,18,60.0,24.0,33.0,3.0,32.0,60.0,177.0,10.0,1.8
2022-07-02,19,60.0,24.0,31.0,3.0,32.0,60.0,187.0,2.0,1.6
2022-07-02,20,0.0,24.0,29.0,1.0,32.0,65.0,184.0,0.0,1.3
2022-07-02,21,0.0,24.0,28.0,1.0,32.0,70.0,193.0,0.0,0.9
2022-07-02,22,0.0,24.0,26.0,1.0,32.0,75.0,156.0,0.0,1.0
2022-07-02,23,0.0,24.0,26.0,1.0,32.0,80.0,119.0,0.0,1.0
2022-07-03,0,30.0,24.0,26.0,4.0,33.0,85.0,125.0,0.0,1.9
2022-07-03,1,20.0,24.0,25.0,3.0,33.0,85.0,117.0,0.0,1.8
2022-07-03,2,30.0,24.0,25.0,4.0,33.0,90.0,105.0,0.0,1.5
2022-07-03,3,30.0,24.0,24.0,4.0,33.0,90.0,105.0,0.0,1.4
2022-07-03,4,30.0,24.0,24.0,4.0,33.0,90.0,110.0,0.0,1.1
2022-07-03,5,30.0,24.0,24.0,4.0,33.0,90.0,110.0,0.0,1.1
2022-07-03,6,30.0,24.0,24.0,4.0,33.0,90.0,110.0,0.0,1.1
2022-07-03,7,30.0,24.0,26.0,4.0,33.0,85.0,128.0,0.0,1.5
2022-07-03,8,30.0,24.0,27.0,4.0,33.0,75.0,129.0,0.0,1.7
2022-07-03,9,20.0,24.0,29.0,3.0,33.0,70.0,141.0,0.0,2.2
2022-07-03,10,20.0,24.0,30.0,3.0,33.0,60.0,145.0,0.0,2.6
2022-07-03,11,20.0,24.0,31.0,3.0,33.0,60.0,143.0,0.0,2.9
2022-07-03,12,30.0,24.0,32.0,4.0,33.0,55.0,146.0,0.0,3.1
2022-07-03,13,60.0,24.0,32.0,4.0,33.0,60.0,160.0,0.0,3.2
2022-07-03,14,60.0,24.0,32.0,4.0,33.0,60.0,158.0,5.0,3.1
2022-07-03,15,79.0,24.0,32.0,4.0,33.0,65.0,156.0,11.0,3.0
2022-07-03,16,20.0,24.0,33.0,3.0,33.0,60.0,157.0,0.0,3.2
2022-07-03,17,20.0,24.0,31.0,3.0,33.0,60.0,163.0,0.0,3.0
2022-07-03,18,30.0,24.0,30.0,4.0,33.0,65.0,165.0,0.0,2.4
2022-07-03,19,60.0,24.0,29.0,4.0,33.0,70.0,162.0,0.0,1.2
2022-07-03,20,20.0,24.0,28.0,3.0,33.0,75.0,160.0,0.0,0.9
2022-07-03,21,20.0,24.0,28.0,3.0,33.0,75.0,160.0,0.0,1.0
2022-07-03,22,20.0,24.0,26.0,3.0,33.0,80.0,148.0,0.0,1.1
2022-07-03,23,30.0,24.0,26.0,4.0,33.0,85.0,144.0,0.0,1.0
2022-07-04,0,30.0,25.0,26.0,4.0,32.0,85.0,135.0,0.0,2.8
2022-07-04,1,30.0,25.0,26.0,4.0,32.0,85.0,139.0,0.0,2.8
2022-07-04,2,30.0,25.0,25.0,4.0,32.0,85.0,134.0,0.0,2.8
2022-07-04,3,30.0,25.0,25.0,4.0,32.0,90.0,125.0,0.0,2.1
2022-07-04,4,30.0,25.0,25.0,4.0,32.0,90.0,115.0,0.0,1.7
2022-07-04,5,30.0,25.0,24.0,4.0,32.0,90.0,112.0,0.0,1.6
2022-07-04,6,30.0,25.0,25.0,4.0,32.0,90.0,106.0,0.0,1.8
2022-07-04,7,20.0,25.0,26.0,3.0,32.0,85.0,115.0,0.0,2.3
2022-07-04,8,30.0,25.0,27.0,4.0,32.0,80.0,120.0,0.0,3.0
2022-07-04,9,30.0,25.0,29.0,4.0,32.0,75.0,122.0,0.0,3.2
2022-07-04,10,20.0,25.0,30.0,3.0,32.0,70.0,124.0,0.0,2.9
2022-07-04,11,20.0,25.0,31.0,3.0,32.0,65.0,127.0,0.0,2.6
2022-07-04,12,20.0,25.0,31.0,3.0,32.0,65.0,129.0,0.0,2.8
2022-07-04,13,20.0,25.0,32.0,3.0,32.0,60.0,134.0,0.0,2.8
2022-07-04,14,60.0,25.0,32.0,3.0,32.0,60.0,135.0,6.0,2.7
2022-07-04,15,30.0,25.0,32.0,4.0,32.0,65.0,145.0,0.0,2.4
2022-07-04,16,30.0,25.0,31.0,4.0,32.0,65.0,148.0,0.0,1.9
2022-07-04,17,60.0,25.0,31.0,4.0,32.0,65.0,110.0,17.0,1.2
2022-07-04,18,60.0,25.0,30.0,4.0,32.0,65.0,53.0,4.0,1.0
2022-07-04,19,30.0,25.0,29.0,4.0,32.0,75.0,6.0,0.0,1.0
2022-07-04,20,60.0,25.0,28.0,4.0,32.0,80.0,10.0,3.0,1.1
2022-07-04,21,30.0,25.0,27.0,4.0,32.0,80.0,14.0,0.0,1.2
2022-07-04,22,30.0,25.0,26.0,4.0,32.0,85.0,18.0,0.0,0.9
2022-07-04,23,20.0,25.0,26.0,3.0,32.0,90.0,45.0,0.0,1.0
