day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-07-13,0,0.0,25.3,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,1,0.0,26.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,2,0.0,25.3,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,3,0.0,25.6,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,4,0.0,25.3,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,5,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,6,20.0,25.8,16.0,23.0,-0.0,0.5,0.0,0.0,-0.0,0.5,0.4,0.7,0.2,0.0,0.8,0.0,0.0,2.0,0.7
2022-07-13,7,57.0,26.4,52.0,25.6,3.6,1.9,0.9,0.7,1.1,4.0,0.8,1.8,1.3,1.7,3.3,2.5,4.5,5.2,2.1
2022-07-13,8,112.0,27.4,109.0,27.0,12.0,4.3,2.5,2.2,3.1,10.2,1.6,4.1,3.0,4.0,7.0,5.8,10.7,11.6,4.8
2022-07-13,9,161.0,28.0,150.0,29.4,17.7,6.2,3.7,3.4,4.3,14.8,2.1,5.4,4.2,5.7,9.7,8.1,14.9,15.2,6.5
2022-07-13,10,128.0,28.2,119.0,28.4,12.4,4.8,2.9,2.7,3.5,11.1,1.8,4.5,3.4,4.7,8.1,6.6,12.2,12.8,5.5
2022-07-13,11,122.0,29.7,116.0,29.8,13.2,4.8,2.7,2.4,3.3,11.0,1.7,4.1,3.2,4.2,7.3,6.1,11.0,11.6,4.9
2022-07-13,12,190.0,31.2,185.0,31.1,24.1,7.7,4.6,4.3,5.9,18.6,2.6,7.2,5.2,7.0,12.0,10.3,18.9,19.4,8.0
2022-07-13,13,83.0,30.1,83.0,31.2,9.6,3.3,1.7,1.5,2.3,7.3,1.2,3.2,2.1,2.7,5.1,4.3,7.8,8.9,3.5
2022-07-13,14,218.0,31.6,218.0,33.6,28.1,8.8,5.4,5.1,7.3,21.8,3.1,8.4,6.1,8.4,14.2,12.3,22.8,23.8,10.2
2022-07-13,15,240.0,33.1,226.0,33.8,27.4,9.2,5.4,5.1,7.0,22.1,3.0,8.1,6.1,8.3,14.1,12.1,22.4,23.1,9.9
2022-07-13,16,356.0,35.7,347.0,36.8,39.0,13.9,7.7,8.9,11.5,35.3,4.4,12.1,9.2,12.7,22.2,18.2,34.8,34.5,14.9
2022-07-13,17,206.0,32.6,205.0,33.8,24.3,8.0,4.7,4.7,6.7,20.2,3.0,8.0,5.7,7.9,13.1,11.3,20.9,23.6,9.4
2022-07-13,18,234.0,31.9,228.0,33.8,30.6,9.2,4.9,5.8,7.9,23.3,3.5,9.5,7.4,9.6,16.1,13.4,25.3,26.2,11.3
2022-07-13,19,17.0,28.2,17.0,28.3,-0.7,0.4,0.0,0.0,0.0,0.2,0.4,0.7,0.3,0.0,0.7,0.0,0.0,1.9,0.0
2022-07-13,20,0.0,27.9,0.0,25.8,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,21,0.0,28.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,22,0.0,27.8,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-13,23,0.0,27.8,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
