day,time,value
2022-07-01,0,25.000000
2022-07-01,1,25.000000
2022-07-01,2,24.000000
2022-07-01,3,24.000000
2022-07-01,4,24.000000
2022-07-01,5,24.000000
2022-07-01,6,24.000000
2022-07-01,7,25.000000
2022-07-01,8,27.000000
2022-07-01,9,28.000000
2022-07-01,10,29.000000
2022-07-01,11,30.000000
2022-07-01,12,31.000000
2022-07-01,13,32.000000
2022-07-01,14,32.000000
2022-07-01,15,32.000000
2022-07-01,16,32.000000
2022-07-01,17,32.000000
2022-07-01,18,31.000000
2022-07-01,19,29.000000
2022-07-01,20,28.000000
2022-07-01,21,26.000000
2022-07-01,22,25.000000
2022-07-01,23,25.000000
2022-07-02,0,24.000000
2022-07-02,1,23.000000
2022-07-02,2,23.000000
2022-07-02,3,23.000000
2022-07-02,4,22.000000
2022-07-02,5,22.000000
2022-07-02,6,22.000000
2022-07-02,7,24.000000
2022-07-02,8,26.000000
2022-07-02,9,28.000000
2022-07-02,10,30.000000
2022-07-02,11,31.000000
2022-07-02,12,33.000000
2022-07-02,13,34.000000
2022-07-02,14,35.000000
2022-07-02,15,35.000000
2022-07-02,16,35.000000
2022-07-02,17,34.000000
2022-07-02,18,33.000000
2022-07-02,19,31.000000
2022-07-02,20,29.000000
2022-07-02,21,28.000000
2022-07-02,22,26.000000
2022-07-02,23,26.000000
2022-07-03,0,26.000000
2022-07-03,1,25.000000
2022-07-03,2,25.000000
2022-07-03,3,24.000000
2022-07-03,4,24.000000
2022-07-03,5,24.000000
2022-07-03,6,24.000000
2022-07-03,7,26.000000
2022-07-03,8,27.000000
2022-07-03,9,29.000000
2022-07-03,10,30.000000
2022-07-03,11,31.000000
2022-07-03,12,32.000000
2022-07-03,13,32.000000
2022-07-03,14,32.000000
2022-07-03,15,32.000000
2022-07-03,16,33.000000
2022-07-03,17,31.000000
2022-07-03,18,30.000000
2022-07-03,19,29.000000
2022-07-03,20,28.000000
2022-07-03,21,28.000000
2022-07-03,22,26.000000
2022-07-03,23,26.000000
2022-07-04,0,26.000000
2022-07-04,1,26.000000
2022-07-04,2,25.000000
2022-07-04,3,25.000000
2022-07-04,4,25.000000
2022-07-04,5,24.000000
2022-07-04,6,25.000000
2022-07-04,7,26.000000
2022-07-04,8,27.000000
2022-07-04,9,29.000000
2022-07-04,10,30.000000
2022-07-04,11,31.000000
2022-07-04,12,31.000000
2022-07-04,13,32.000000
2022-07-04,14,32.000000
2022-07-04,15,32.000000
2022-07-04,16,31.000000
2022-07-04,17,31.000000
2022-07-04,18,30.000000
2022-07-04,19,29.000000
2022-07-04,20,28.000000
2022-07-04,21,27.000000
2022-07-04,22,26.000000
2022-07-04,23,26.000000
2022-07-05,0,26.000000
2022-07-05,1,25.000000
2022-07-05,2,25.000000
2022-07-05,3,25.000000
2022-07-05,4,25.000000
2022-07-05,5,25.000000
2022-07-05,6,25.000000
2022-07-05,7,26.000000
2022-07-05,8,27.000000
2022-07-05,9,28.000000
2022-07-05,10,29.000000
2022-07-05,11,30.000000
2022-07-05,12,30.000000
2022-07-05,13,31.000000
2022-07-05,14,32.000000
2022-07-05,15,32.000000
2022-07-05,16,31.000000
2022-07-05,17,31.000000
2022-07-05,18,30.000000
2022-07-05,19,29.000000
2022-07-05,20,28.000000
2022-07-05,21,27.000000
2022-07-05,22,27.000000
2022-07-05,23,27.000000
2022-07-06,0,26.000000
2022-07-06,1,26.000000
2022-07-06,2,25.000000
2022-07-06,3,25.000000
2022-07-06,4,25.000000
2022-07-06,5,25.000000
2022-07-06,6,25.000000
2022-07-06,7,26.000000
2022-07-06,8,27.000000
2022-07-06,9,29.000000
2022-07-06,10,30.000000
2022-07-06,11,31.000000
2022-07-06,12,32.000000
2022-07-06,13,33.000000
2022-07-06,14,33.000000
2022-07-06,15,33.000000
2022-07-06,16,33.000000
2022-07-06,17,32.000000
2022-07-06,18,31.000000
2022-07-06,19,30.000000
2022-07-06,20,29.000000
2022-07-06,21,28.000000
2022-07-06,22,27.000000
2022-07-06,23,27.000000
2022-07-07,0,27.000000
2022-07-07,1,27.000000
2022-07-07,2,26.000000
2022-07-07,3,26.000000
2022-07-07,4,26.000000
2022-07-07,5,26.000000
2022-07-07,6,26.000000
2022-07-07,7,27.000000
2022-07-07,8,28.000000
2022-07-07,9,29.000000
2022-07-07,10,30.000000
2022-07-07,11,31.000000
2022-07-07,12,31.000000
2022-07-07,13,31.000000
2022-07-07,14,31.000000
2022-07-07,15,31.000000
2022-07-07,16,30.000000
2022-07-07,17,30.000000
2022-07-07,18,29.000000
2022-07-07,19,29.000000
2022-07-07,20,28.000000
2022-07-07,21,28.000000
2022-07-07,22,27.000000
2022-07-07,23,27.000000
2022-07-08,0,27.000000
2022-07-08,1,26.000000
2022-07-08,2,26.000000
2022-07-08,3,26.000000
2022-07-08,4,26.000000
2022-07-08,5,26.000000
2022-07-08,6,26.000000
2022-07-08,7,26.000000
2022-07-08,8,27.000000
2022-07-08,9,28.000000
2022-07-08,10,29.000000
2022-07-08,11,30.000000
2022-07-08,12,30.000000
2022-07-08,13,31.000000
2022-07-08,14,31.000000
2022-07-08,15,31.000000
2022-07-08,16,31.000000
2022-07-08,17,31.000000
2022-07-08,18,30.000000
2022-07-08,19,29.000000
2022-07-08,20,28.000000
2022-07-08,21,27.000000
2022-07-08,22,26.000000
2022-07-08,23,26.000000
2022-07-09,0,25.000000
2022-07-09,1,25.000000
2022-07-09,2,24.000000
2022-07-09,3,24.000000
2022-07-09,4,24.000000
2022-07-09,5,24.000000
2022-07-09,6,24.000000
2022-07-09,7,25.000000
2022-07-09,8,26.000000
2022-07-09,9,27.000000
2022-07-09,10,28.000000
2022-07-09,11,30.000000
2022-07-09,12,30.000000
2022-07-09,13,31.000000
2022-07-09,14,32.000000
2022-07-09,15,32.000000
2022-07-09,16,32.000000
2022-07-09,17,32.000000
2022-07-09,18,31.000000
2022-07-09,19,30.000000
2022-07-09,20,28.000000
2022-07-09,21,27.000000
2022-07-09,22,27.000000
2022-07-09,23,26.000000
2022-07-10,0,25.000000
2022-07-10,1,25.000000
2022-07-10,2,25.000000
2022-07-10,3,24.000000
2022-07-10,4,24.000000
2022-07-10,5,24.000000
2022-07-10,6,24.000000
2022-07-10,7,25.000000
2022-07-10,8,27.000000
2022-07-10,9,28.000000
2022-07-10,10,30.000000
2022-07-10,11,31.000000
2022-07-10,12,33.000000
2022-07-10,13,34.000000
2022-07-10,14,33.000000
2022-07-10,15,33.000000
2022-07-10,16,33.000000
2022-07-10,17,32.000000
2022-07-10,18,31.000000
2022-07-10,19,30.000000
