day,time,강수확률,일최저기온,1시간기온,하늘상태,일최고기온,습도,풍향,1시간강수량,풍속,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-07-01,0,0.0,24.0,25.0,1.0,32.0,90.0,137.0,0.0,2.1,0.0,25.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,1,0.0,24.0,25.0,1.0,32.0,95.0,141.0,0.0,1.9,0.0,25.1,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,2,0.0,24.0,24.0,1.0,32.0,95.0,146.0,0.0,2.3,0.0,24.6,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,3,0.0,24.0,24.0,1.0,32.0,95.0,150.0,0.0,2.4,0.0,23.9,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,4,0.0,24.0,24.0,1.0,32.0,95.0,158.0,0.0,2.4,0.0,23.2,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,5,0.0,24.0,24.0,1.0,32.0,95.0,159.0,0.0,2.2,0.0,22.8,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,6,0.0,24.0,24.0,1.0,32.0,95.0,157.0,0.0,2.3,54.0,25.4,13.0,21.6,0.0,0.7,0.4,0.0,0.1,0.6,0.4,0.7,0.0,0.5,1.1,0.0,0.4,2.0,0.7
2022-07-01,7,20.0,24.0,25.0,3.0,32.0,85.0,157.0,0.0,2.6,213.0,30.7,79.0,25.6,5.3,5.8,5.0,3.2,0.8,3.8,0.7,2.1,1.6,1.7,5.5,3.0,5.2,6.0,2.5
2022-07-01,8,30.0,24.0,27.0,4.0,32.0,85.0,155.0,0.0,3.1,412.0,34.5,271.0,31.2,33.3,14.3,11.2,5.7,5.1,23.5,3.0,3.6,6.8,6.6,17.2,13.3,24.5,25.1,8.0
2022-07-01,9,30.0,24.0,28.0,4.0,32.0,75.0,153.0,0.0,3.3,751.0,36.1,610.0,40.8,33.0,23.7,18.6,10.3,16.1,56.0,3.6,9.0,16.4,21.1,37.7,32.4,50.2,43.3,14.9
2022-07-01,10,30.0,24.0,29.0,4.0,32.0,70.0,155.0,0.0,3.5,796.0,44.4,693.0,48.7,82.8,27.8,18.9,16.7,18.6,67.1,8.0,22.9,17.9,24.7,40.5,35.4,65.8,66.9,28.4
2022-07-01,11,20.0,24.0,30.0,3.0,32.0,65.0,153.0,0.0,3.6,997.0,45.8,928.0,56.0,107.6,32.9,21.3,13.5,24.1,85.6,10.6,24.7,22.9,32.2,20.5,45.7,18.7,18.5,18.3
2022-07-01,12,30.0,24.0,31.0,4.0,32.0,60.0,153.0,0.0,3.7,1037.0,46.4,1014.0,56.4,123.4,34.6,21.6,21.2,26.6,91.6,10.8,31.5,24.4,34.4,54.7,49.1,92.3,92.7,38.3
2022-07-01,13,20.0,24.0,32.0,3.0,32.0,60.0,156.0,0.0,3.7,1106.0,52.2,1122.0,63.3,35.6,31.8,21.6,21.3,8.8,97.3,4.6,9.3,26.2,20.9,17.5,13.5,32.0,26.1,40.5
2022-07-01,14,20.0,24.0,32.0,3.0,32.0,55.0,161.0,0.0,3.6,919.0,47.8,939.0,58.5,108.1,31.2,18.7,19.1,25.7,86.5,10.2,29.3,23.0,32.0,50.4,45.4,85.7,85.3,35.5
2022-07-01,15,0.0,24.0,32.0,1.0,32.0,55.0,162.0,0.0,3.2,803.0,45.2,840.0,52.1,89.5,28.9,16.2,16.9,24.2,81.3,9.6,27.0,21.2,29.5,46.1,41.8,78.2,79.1,33.2
2022-07-01,16,0.0,24.0,32.0,1.0,32.0,50.0,162.0,0.0,2.8,618.0,39.9,645.0,43.1,58.9,23.7,12.1,13.5,20.7,67.3,8.2,22.2,17.3,23.6,38.1,35.0,64.9,59.3,28.1
2022-07-01,17,0.0,24.0,32.0,1.0,32.0,50.0,154.0,0.0,2.5,431.0,44.2,445.0,48.8,47.1,15.8,6.4,9.0,13.8,42.6,6.0,16.0,12.6,14.6,27.1,24.6,46.1,46.2,19.7
2022-07-01,18,0.0,24.0,31.0,1.0,32.0,55.0,153.0,0.0,2.5,33.0,36.1,32.0,36.8,19.9,7.0,1.4,4.5,6.4,22.7,3.2,8.7,6.8,7.4,14.2,12.1,24.2,24.9,10.6
2022-07-01,19,0.0,24.0,29.0,1.0,32.0,65.0,152.0,0.0,1.5,55.0,33.2,34.0,31.3,0.3,0.8,0.0,0.8,1.0,3.1,0.7,1.9,1.4,1.5,3.4,2.2,2.2,5.4,2.3
2022-07-01,20,0.0,24.0,28.0,1.0,32.0,70.0,151.0,0.0,1.3,0.0,30.1,0.0,28.5,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,21,0.0,24.0,26.0,1.0,32.0,80.0,145.0,0.0,1.2,0.0,28.2,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,22,0.0,24.0,25.0,1.0,32.0,85.0,132.0,0.0,1.2,0.0,25.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,23,0.0,24.0,25.0,1.0,32.0,90.0,129.0,0.0,1.3,0.0,23.9,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,0,0.0,24.0,24.0,1.0,32.0,90.0,121.0,0.0,1.2,0.0,23.2,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,1,0.0,24.0,23.0,1.0,32.0,90.0,117.0,0.0,1.1,0.0,23.3,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,2,0.0,24.0,23.0,1.0,32.0,90.0,121.0,0.0,1.2,0.0,22.5,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,3,0.0,24.0,23.0,1.0,32.0,95.0,121.0,0.0,1.2,0.0,22.2,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,4,0.0,24.0,22.0,1.0,32.0,95.0,117.0,0.0,1.1,0.0,22.2,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,5,0.0,24.0,22.0,1.0,32.0,95.0,125.0,0.0,1.6,0.0,21.3,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,6,0.0,24.0,22.0,1.0,32.0,95.0,120.0,0.0,1.6,65.0,24.6,26.0,20.1,1.0,1.2,0.8,0.7,0.4,1.8,0.6,1.1,0.7,0.9,1.3,0.0,0.9,3.0,1.2
2022-07-02,7,0.0,24.0,24.0,1.0,32.0,90.0,120.0,0.0,1.4,226.0,30.1,92.0,24.6,7.1,6.3,5.2,3.6,1.4,5.3,0.9,2.5,1.9,2.2,6.3,3.6,6.4,7.2,3.1
2022-07-02,8,0.0,24.0,26.0,1.0,32.0,85.0,125.0,0.0,1.2,403.0,32.1,263.0,31.1,31.8,14.0,10.8,7.5,5.2,22.7,2.9,8.4,6.7,6.5,16.8,13.1,23.9,24.9,10.8
2022-07-02,9,0.0,24.0,28.0,1.0,32.0,75.0,135.0,0.0,1.1,588.0,34.2,464.0,38.9,59.4,21.0,15.1,11.6,11.7,45.3,5.4,15.6,12.5,15.3,28.9,24.3,45.2,44.8,19.4
2022-07-02,10,0.0,24.0,30.0,1.0,32.0,65.0,141.0,0.0,1.3,795.0,36.9,714.0,44.9,92.0,28.8,19.1,6.9,18.7,68.8,6.6,21.0,20.3,24.4,42.4,38.9,72.1,70.7,31.5
2022-07-02,11,0.0,24.0,31.0,1.0,32.0,55.0,141.0,0.0,1.4,832.0,47.2,786.0,54.6,80.2,25.3,20.4,9.2,15.8,72.0,6.5,15.9,18.0,22.1,37.5,28.6,60.6,46.0,20.9
2022-07-02,12,0.0,24.0,33.0,1.0,32.0,50.0,128.0,0.0,1.6,640.0,45.0,626.0,51.4,76.2,18.7,13.1,7.9,16.0,58.5,6.7,29.2,12.1,18.2,37.6,35.8,70.4,56.7,31.7
2022-07-02,13,0.0,24.0,34.0,1.0,32.0,50.0,119.0,0.0,1.3,791.0,43.7,802.0,53.4,97.1,26.1,16.0,7.6,20.8,72.6,8.3,14.8,20.1,27.6,43.2,37.8,60.3,44.1,28.4
2022-07-02,14,20.0,24.0,35.0,3.0,32.0,45.0,103.0,0.0,0.9,909.0,51.6,947.0,58.2,110.5,30.8,18.6,8.8,13.4,86.3,7.4,29.9,23.3,9.6,19.5,33.8,51.8,88.0,35.1
2022-07-02,15,20.0,24.0,35.0,3.0,32.0,45.0,104.0,0.0,1.2,316.0,41.3,323.0,50.5,72.6,12.4,7.3,9.0,10.8,32.3,4.9,14.2,9.2,12.7,21.6,19.4,36.6,75.3,34.1
2022-07-02,16,20.0,24.0,35.0,3.0,32.0,40.0,128.0,0.0,1.6,258.0,41.1,266.0,45.1,39.7,13.5,4.8,2.1,7.1,32.8,2.9,21.7,6.0,8.0,13.7,23.0,22.2,54.7,19.7
2022-07-02,17,20.0,24.0,34.0,3.0,32.0,40.0,151.0,0.0,2.3,144.0,36.7,148.0,36.8,51.6,6.1,3.2,1.4,5.6,15.9,2.2,15.9,4.5,5.8,10.4,9.3,17.0,46.2,7.8
2022-07-02,18,60.0,24.0,33.0,3.0,32.0,60.0,177.0,10.0,1.8,134.0,35.2,132.0,36.8,24.1,8.3,3.4,2.4,7.6,24.5,3.3,8.8,7.1,8.5,15.3,13.1,25.4,25.2,11.1
2022-07-02,19,60.0,24.0,31.0,3.0,32.0,60.0,187.0,2.0,1.6,38.0,31.0,31.0,30.0,1.0,1.1,0.0,0.0,0.5,2.3,0.6,1.5,1.0,1.1,2.4,1.9,3.2,4.3,1.7
2022-07-02,20,0.0,24.0,29.0,1.0,32.0,65.0,184.0,0.0,1.3,0.0,28.2,0.0,25.8,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,21,0.0,24.0,28.0,1.0,32.0,70.0,193.0,0.0,0.9,0.0,27.3,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,22,0.0,24.0,26.0,1.0,32.0,75.0,156.0,0.0,1.0,0.0,26.6,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-02,23,0.0,24.0,26.0,1.0,32.0,80.0,119.0,0.0,1.0,0.0,25.9,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,0,30.0,24.0,26.0,4.0,33.0,85.0,125.0,0.0,1.9,0.0,25.4,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,1,20.0,24.0,25.0,3.0,33.0,85.0,117.0,0.0,1.8,0.0,25.6,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,2,30.0,24.0,25.0,4.0,33.0,90.0,105.0,0.0,1.5,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,3,30.0,24.0,24.0,4.0,33.0,90.0,105.0,0.0,1.4,0.0,25.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,4,30.0,24.0,24.0,4.0,33.0,90.0,110.0,0.0,1.1,0.0,24.8,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,5,30.0,24.0,24.0,4.0,33.0,90.0,110.0,0.0,1.1,0.0,24.2,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,6,30.0,24.0,24.0,4.0,33.0,90.0,110.0,0.0,1.1,24.0,24.2,16.0,22.8,-0.1,0.6,0.2,0.0,-0.0,0.0,0.4,0.7,0.0,0.0,0.9,0.0,0.4,2.1,0.8
2022-07-03,7,30.0,24.0,26.0,4.0,33.0,85.0,128.0,0.0,1.5,211.0,30.0,104.0,25.6,9.6,6.4,4.9,3.6,2.2,7.7,1.2,3.3,2.4,3.0,7.1,4.8,8.6,9.3,3.9
2022-07-03,8,30.0,24.0,27.0,4.0,33.0,75.0,129.0,0.0,1.7,301.0,34.4,213.0,31.2,26.4,10.9,7.7,6.0,5.1,19.6,2.6,7.5,5.7,6.7,14.3,11.4,21.0,21.9,9.4
2022-07-03,9,20.0,24.0,29.0,3.0,33.0,70.0,141.0,0.0,2.2,381.0,38.1,311.0,38.1,39.3,14.2,9.9,8.9,8.9,30.5,4.1,11.2,8.6,10.9,20.6,17.5,32.2,31.7,13.6
2022-07-03,10,20.0,24.0,30.0,3.0,33.0,60.0,145.0,0.0,2.6,634.0,37.1,558.0,42.1,69.0,23.2,15.6,13.1,15.4,55.9,6.4,18.7,14.4,19.6,33.1,28.8,53.5,53.8,22.0
2022-07-03,11,20.0,24.0,31.0,3.0,33.0,60.0,143.0,0.0,2.9,913.0,48.3,859.0,56.0,98.9,30.1,19.6,8.7,22.1,79.1,8.9,26.5,20.4,28.5,46.5,41.3,77.4,76.3,32.0
2022-07-03,12,30.0,24.0,32.0,4.0,33.0,55.0,146.0,0.0,3.1,441.0,44.1,420.0,47.7,46.0,15.9,10.4,4.7,13.4,42.0,5.6,13.9,11.7,17.4,26.7,24.0,43.0,41.7,19.9
2022-07-03,13,60.0,24.0,32.0,4.0,33.0,60.0,160.0,0.0,3.2,260.0,39.2,266.0,39.4,51.5,10.7,6.4,2.7,9.4,27.1,3.4,11.2,7.1,9.8,17.1,15.5,28.3,32.2,11.6
2022-07-03,14,60.0,24.0,32.0,4.0,33.0,60.0,158.0,5.0,3.1,384.0,35.6,380.0,36.6,58.0,15.5,9.4,4.2,13.6,39.6,5.1,14.8,9.4,13.0,24.3,24.4,41.1,43.6,17.6
2022-07-03,15,79.0,24.0,32.0,4.0,33.0,65.0,156.0,11.0,3.0,799.0,47.1,817.0,50.4,97.6,28.4,16.1,8.1,24.7,80.4,9.7,26.5,21.5,30.3,47.3,42.3,78.7,75.1,33.4
2022-07-03,16,20.0,24.0,33.0,3.0,33.0,60.0,157.0,0.0,3.2,324.0,48.3,318.0,50.1,36.8,12.0,6.4,2.7,8.8,31.5,3.6,10.2,8.0,10.2,16.7,15.0,27.3,39.7,25.3
2022-07-03,17,20.0,24.0,31.0,3.0,33.0,60.0,163.0,0.0,3.0,72.0,33.0,85.0,33.1,10.6,3.1,1.7,0.0,2.7,7.8,1.2,3.5,2.1,2.6,5.0,4.6,7.8,9.9,3.4
2022-07-03,18,30.0,24.0,30.0,4.0,33.0,65.0,165.0,0.0,2.4,24.0,24.9,24.0,24.4,0.8,0.8,0.3,0.0,0.3,0.0,0.6,1.1,0.0,0.9,0.0,0.0,1.9,3.1,1.3
2022-07-03,19,60.0,24.0,29.0,4.0,33.0,70.0,162.0,0.0,1.2,27.0,27.1,27.0,25.8,0.9,0.9,0.3,0.0,0.4,1.5,0.6,1.1,0.7,0.9,0.9,0.0,1.0,3.3,1.2
2022-07-03,20,20.0,24.0,28.0,3.0,33.0,75.0,160.0,0.0,0.9,0.0,25.9,0.0,24.4,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,21,20.0,24.0,28.0,3.0,33.0,75.0,160.0,0.0,1.0,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,22,20.0,24.0,26.0,3.0,33.0,80.0,148.0,0.0,1.1,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-03,23,30.0,24.0,26.0,4.0,33.0,85.0,144.0,0.0,1.0,0.0,24.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-04,0,30.0,25.0,26.0,4.0,32.0,85.0,135.0,0.0,2.8,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-04,1,30.0,25.0,26.0,4.0,32.0,85.0,139.0,0.0,2.8,0.0,25.1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-04,2,30.0,25.0,25.0,4.0,32.0,85.0,134.0,0.0,2.8,0.0,27.1,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
