day,time,수평면,외기온도,경사면,모듈온도,축구장,학생회관,중앙창고,학사과정,다산빌딩,시설관리동,대학C동,동물실험동,중앙도서관,LG도서관,신재생에너지동,삼성환경동,중앙연구기기센터,산업협력관,기숙사 B동
2022-08-09,0,0.0,27.8,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,1,0.0,27.8,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,2,0.0,27.4,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,3,0.0,27.8,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,4,0.0,27.8,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,5,0.0,27.7,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,6,0.0,27.8,0.0,25.7,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.1,-0.0
2022-08-09,7,30.0,28.0,29.0,25.7,0.8,0.9,0.2,0.0,0.3,0.8,0.5,1.0,0.7,0.8,0.9,0.0,0.6,2.9,1.1
2022-08-09,8,121.0,30.4,112.0,31.1,7.2,4.5,2.7,2.7,3.2,7.0,1.7,4.1,3.1,4.2,7.4,6.0,11.2,11.5,5.1
2022-08-09,9,181.0,34.2,171.0,35.8,14.3,7.1,4.3,4.3,5.4,11.8,2.3,6.9,4.6,6.2,11.0,9.4,17.3,22.2,8.0
2022-08-09,10,861.0,39.8,787.0,47.4,54.8,30.2,20.8,8.8,21.5,53.6,8.3,27.0,19.5,26.9,46.6,40.6,76.6,78.7,31.4
2022-08-09,11,722.0,40.1,710.0,47.7,52.7,29.4,16.6,8.4,19.8,49.6,8.3,23.4,16.1,23.4,39.3,35.6,67.6,54.3,31.5
2022-08-09,12,602.0,40.5,589.0,50.3,61.7,18.2,13.9,7.8,27.3,38.9,11.6,35.0,22.3,34.3,57.1,51.0,107.9,72.3,17.5
2022-08-09,13,286.0,36.8,270.0,41.0,18.1,10.2,5.9,2.3,9.1,18.3,3.6,8.4,7.1,10.1,18.7,16.1,26.2,22.6,9.6
2022-08-09,14,362.0,36.8,353.0,40.9,30.1,13.7,8.5,4.3,12.5,24.8,5.2,14.4,9.9,14.5,24.2,20.3,39.4,41.0,17.7
2022-08-09,15,295.0,35.2,281.0,36.6,19.4,11.0,7.2,3.3,8.8,19.4,3.8,9.8,7.9,10.7,17.5,14.8,28.0,27.8,13.5
2022-08-09,16,310.0,35.7,305.0,39.6,16.0,11.6,6.6,2.8,9.3,21.3,3.9,8.6,8.0,10.9,17.7,15.4,28.3,5.2,11.7
2022-08-09,17,304.0,35.0,305.0,36.8,19.2,11.3,5.8,1.9,8.0,21.3,3.3,6.7,7.2,9.3,15.0,13.8,24.3,19.4,8.6
2022-08-09,18,69.0,31.8,68.0,31.3,3.9,2.4,1.3,0.2,1.8,3.6,1.0,2.5,1.7,2.3,4.2,3.4,6.1,7.0,2.8
2022-08-09,19,12.0,30.1,11.0,28.5,-0.6,0.2,0.0,0.0,-0.1,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,1.2,0.0
2022-08-09,20,0.0,29.4,0.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,21,0.0,28.2,0.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,22,0.0,28.2,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-09,23,0.0,28.2,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
